Year,Access to Basic Services,Sector,Wealth Index Quintile,Geopolitical zone,Education Status,State,GeoCode,Value
2017,Sanitation,,,,Junior Secondary,,NG,31.7
2021,Water,,,,Junior Secondary,,NG,71.0
2021,Sanitation,,,,Junior Secondary,,NG,34.9
2021,Radio,,,,Junior Secondary,,NG,41.0
2021,Television,,,,Junior Secondary,,NG,33.9
2021,Internet,,,,Junior Secondary,,NG,20.3
2021,Telephone,,,,Junior Secondary,,NG,85.6
2017,Water,,,,Senior Secondary,,NG,73.3
2017,Sanitation,,,,Senior Secondary,,NG,36.1
2021,Water,,,,Senior Secondary,,NG,80.0
2021,Sanitation,,,,Senior Secondary,,NG,37.3
2021,Radio,,,,Senior Secondary,,NG,51.2
2021,Television,,,,Senior Secondary,,NG,52.5
2021,Internet,,,,Senior Secondary,,NG,38.5
2021,Telephone,,,,Senior Secondary,,NG,93.9
2017,Water,,,,Higher/Tertiary,,NG,80.4
2017,Sanitation,,,,Higher/Tertiary,,NG,61.8
2021,Water,,,,Higher/Tertiary,,NG,86.5
2021,Sanitation,,,,Higher/Tertiary,,NG,65.7
2021,Radio,,,,Higher/Tertiary,,NG,61.3
2021,Television,,,,Higher/Tertiary,,NG,71.1
2021,Internet,,,,Higher/Tertiary,,NG,68.4
2021,Telephone,,,,Higher/Tertiary,,NG,98.4
2017,Water,,,,,Abia,NGAB01,83.5
2017,Sanitation,,,,,Abia,NGAB01,53.1
2017,Electricity,,,,,Abia,NGAB01,80.4
2017,Radio,,,,,Abia,NGAB01,66.7
2017,Television,,,,,Abia,NGAB01,67.2
2017,Telephone,,,,,Abia,NGAB01,83.5
2021,Water,,,,,Abia,NGAB01,81.6
2021,Sanitation,,,,,Abia,NGAB01,49.0
2021,Electricity,,,,,Abia,NGAB01,80.2
2021,Radio,,,,,Abia,NGAB01,54.7
2021,Television,,,,,Abia,NGAB01,54.8
2021,Internet,,,,,Abia,NGAB01,18.0
2021,Telephone,,,,,Abia,NGAB01,94.7
2017,Water,,,,,Adamawa,NGAD02,53.9
2017,Sanitation,,,,,Adamawa,NGAD02,38.9
2017,Electricity,,,,,Adamawa,NGAD02,32.7
2017,Radio,,,,,Adamawa,NGAD02,64.4
2017,Television,,,,,Adamawa,NGAD02,32.7
2017,Telephone,,,,,Adamawa,NGAD02,68.0
2021,Water,,,,,Adamawa,NGAD02,56.6
2021,Sanitation,,,,,Adamawa,NGAD02,33.3
2021,Electricity,,,,,Adamawa,NGAD02,28.8
2021,Radio,,,,,Adamawa,NGAD02,34.5
2021,Television,,,,,Adamawa,NGAD02,19.1
2021,Internet,,,,,Adamawa,NGAD02,17.0
2021,Telephone,,,,,Adamawa,NGAD02,76.8
2017,Water,,,,,Akwa Ibom,NGAK03,80.3
2017,Sanitation,,,,,Akwa Ibom,NGAK03,46.3
2017,Electricity,,,,,Akwa Ibom,NGAK03,75.0
2017,Radio,,,,,Akwa Ibom,NGAK03,60.8
