Year,Access to Basic Services,Sector,Wealth Index Quintile,Geopolitical zone,Education Status,State,GeoCode,Value
2017,Electricity,,,,,Ogun,NGOG27,75.8
2017,Radio,,,,,Ogun,NGOG27,63.5
2017,Television,,,,,Ogun,NGOG27,68.5
2017,Telephone,,,,,Ogun,NGOG27,87.4
2021,Water,,,,,Ogun,NGOG27,74.8
2021,Sanitation,,,,,Ogun,NGOG27,34.2
2021,Electricity,,,,,Ogun,NGOG27,60.2
2021,Radio,,,,,Ogun,NGOG27,62.2
2021,Television,,,,,Ogun,NGOG27,49.8
2021,Internet,,,,,Ogun,NGOG27,35.5
2021,Telephone,,,,,Ogun,NGOG27,88.5
2017,Water,,,,,Ondo,NGON28,79.6
2017,Sanitation,,,,,Ondo,NGON28,21.9
2017,Electricity,,,,,Ondo,NGON28,58.3
2017,Radio,,,,,Ondo,NGON28,67.4
2017,Television,,,,,Ondo,NGON28,56.1
2017,Telephone,,,,,Ondo,NGON28,77.0
2021,Water,,,,,Ondo,NGON28,79.7
2021,Sanitation,,,,,Ondo,NGON28,26.0
2021,Electricity,,,,,Ondo,NGON28,43.2
2021,Radio,,,,,Ondo,NGON28,63.7
2021,Television,,,,,Ondo,NGON28,34.3
2021,Internet,,,,,Ondo,NGON28,34.6
2021,Telephone,,,,,Ondo,NGON28,89.5
2017,Water,,,,,Osun,NGOS29,88.5
2017,Sanitation,,,,,Osun,NGOS29,24.7
2017,Electricity,,,,,Osun,NGOS29,74.0
2017,Radio,,,,,Osun,NGOS29,68.5
2017,Television,,,,,Osun,NGOS29,60.4
2017,Telephone,,,,,Osun,NGOS29,87.2
2021,Water,,,,,Osun,NGOS29,91.9
2021,Sanitation,,,,,Osun,NGOS29,25.9
2021,Electricity,,,,,Osun,NGOS29,78.6
2021,Radio,,,,,Osun,NGOS29,55.6
2021,Television,,,,,Osun,NGOS29,53.3
2021,Internet,,,,,Osun,NGOS29,32.2
2021,Telephone,,,,,Osun,NGOS29,93.2
2017,Water,,,,,Oyo,NGOY30,82.8
2017,Sanitation,,,,,Oyo,NGOY30,21.6
2017,Electricity,,,,,Oyo,NGOY30,68.9
2017,Radio,,,,,Oyo,NGOY30,63.7
2017,Television,,,,,Oyo,NGOY30,63.1
2017,Telephone,,,,,Oyo,NGOY30,85.6
2021,Water,,,,,Oyo,NGOY30,81.9
2021,Sanitation,,,,,Oyo,NGOY30,25.4
2021,Electricity,,,,,Oyo,NGOY30,71.9
2021,Radio,,,,,Oyo,NGOY30,55.6
2021,Television,,,,,Oyo,NGOY30,50.6
2021,Internet,,,,,Oyo,NGOY30,31.2
2021,Telephone,,,,,Oyo,NGOY30,88.4
2017,Water,,,,,Plateau,NGPL31,42.9
2017,Sanitation,,,,,Plateau,NGPL31,26.8
2017,Electricity,,,,,Plateau,NGPL31,39.8
2017,Radio,,,,,Plateau,NGPL31,57.0
2017,Television,,,,,Plateau,NGPL31,45.4
2017,Telephone,,,,,Plateau,NGPL31,79.0
2021,Water,,,,,Plateau,NGPL31,50.3
2021,Sanitation,,,,,Plateau,NGPL31,25.1
2021,Electricity,,,,,Plateau,NGPL31,31.2
2021,Radio,,,,,Plateau,NGPL31,33.2
2021,Television,,,,,Plateau,NGPL31,22.7
2021,Internet,,,,,Plateau,NGPL31,33.5
2021,Telephone,,,,,Plateau,NGPL31,87.6
2017,Water,,,,,Rivers,NGRI32,83.5
2017,Sanitation,,,,,Rivers,NGRI32,38.7
2017,Electricity,,,,,Rivers,NGRI32,80.9
2017,Radio,,,,,Rivers,NGRI32,64.1
2017,Television,,,,,Rivers,NGRI32,71.6
2017,Telephone,,,,,Rivers,NGRI32,94.3
2021,Water,,,,,Rivers,NGRI32,85.5
2021,Sanitation,,,,,Rivers,NGRI32,38.9
2021,Electricity,,,,,Rivers,NGRI32,84.0
2021,Radio,,,,,Rivers,NGRI32,44.7
2021,Television,,,,,Rivers,NGRI32,57.2
2021,Internet,,,,,Rivers,NGRI32,43.4
2021,Telephone,,,,,Rivers,NGRI32,90.7
2017,Water,,,,,Sokoto,NGSO33,32.6
2017,Sanitation,,,,,Sokoto,NGSO33,40.7
2017,Electricity,,,,,Sokoto,NGSO33,37.5
2017,Radio,,,,,Sokoto,NGSO33,55.8
2017,Television,,,,,Sokoto,NGSO33,20.5
2017,Telephone,,,,,Sokoto,NGSO33,44.9
2021,Water,,,,,Sokoto,NGSO33,36.1
2021,Sanitation,,,,,Sokoto,NGSO33,28.2
2021,Electricity,,,,,Sokoto,NGSO33,36.9
2021,Radio,,,,,Sokoto,NGSO33,36.2
2021,Television,,,,,Sokoto,NGSO33,18.4
2021,Internet,,,,,Sokoto,NGSO33,22.7
2021,Telephone,,,,,Sokoto,NGSO33,65.1
2017,Water,,,,,Taraba,NGTA34,38.2
2017,Sanitation,,,,,Taraba,NGTA34,31.0
2017,Electricity,,,,,Taraba,NGTA34,17.7
2017,Radio,,,,,Taraba,NGTA34,47.8
2017,Television,,,,,Taraba,NGTA34,26.7
2017,Telephone,,,,,Taraba,NGTA34,64.0
2021,Water,,,,,Taraba,NGTA34,29.1
2021,Sanitation,,,,,Taraba,NGTA34,28.5
2021,Electricity,,,,,Taraba,NGTA34,14.7
2021,Radio,,,,,Taraba,NGTA34,30.5
2021,Television,,,,,Taraba,NGTA34,9.8
2021,Internet,,,,,Taraba,NGTA34,34.1
2021,Telephone,,,,,Taraba,NGTA34,82.6
2017,Water,,,,,Yobe,NGYO35,63.2
2017,Sanitation,,,,,Yobe,NGYO35,20.7
2017,Electricity,,,,,Yobe,NGYO35,28.5
2017,Radio,,,,,Yobe,NGYO35,52.4
2017,Television,,,,,Yobe,NGYO35,17.7
2017,Telephone,,,,,Yobe,NGYO35,61.1
2021,Water,,,,,Yobe,NGYO35,66.1
2021,Sanitation,,,,,Yobe,NGYO35,39.7
2021,Electricity,,,,,Yobe,NGYO35,22.3
2021,Radio,,,,,Yobe,NGYO35,29.5
2021,Television,,,,,Yobe,NGYO35,9.4
2021,Internet,,,,,Yobe,NGYO35,15.5
2021,Telephone,,,,,Yobe,NGYO35,73.9
2017,Water,,,,,Zamfara,NGZA36,51.5
2017,Sanitation,,,,,Zamfara,NGZA36,41.2
2017,Electricity,,,,,Zamfara,NGZA36,27.7
2017,Radio,,,,,Zamfara,NGZA36,55.9
2017,Television,,,,,Zamfara,NGZA36,19.0
2017,Telephone,,,,,Zamfara,NGZA36,57.8
2021,Water,,,,,Zamfara,NGZA36,65.0
2021,Sanitation,,,,,Zamfara,NGZA36,35.3
2021,Electricity,,,,,Zamfara,NGZA36,35.8
2021,Radio,,,,,Zamfara,NGZA36,64.8
2021,Television,,,,,Zamfara,NGZA36,10.5
2021,Internet,,,,,Zamfara,NGZA36,15.5
2021,Telephone,,,,,Zamfara,NGZA36,82.0
2017,Water,,,,,Federal Capital Territory,NGFC37,75.6
2017,Sanitation,,,,,Federal Capital Territory,NGFC37,40.9
2017,Electricity,,,,,Federal Capital Territory,NGFC37,77.9
2017,Radio,,,,,Federal Capital Territory,NGFC37,67.9
2017,Television,,,,,Federal Capital Territory,NGFC37,69.3
2017,Telephone,,,,,Federal Capital Territory,NGFC37,82.1
2021,Water,,,,,Federal Capital Territory,NGFC37,92.9
2021,Sanitation,,,,,Federal Capital Territory,NGFC37,60.2
2021,Electricity,,,,,Federal Capital Territory,NGFC37,76.1
2021,Radio,,,,,Federal Capital Territory,NGFC37,53.9
2021,Television,,,,,Federal Capital Territory,NGFC37,63.7
2021,Internet,,,,,Federal Capital Territory,NGFC37,55.7
2021,Telephone,,,,,Federal Capital Territory,NGFC37,94.1
