Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,Education Level,Ethnicity,State,GeoCode,Value
2021,Primary school completion rate,,,,,,,Yobe,NGYO35,40.0
2021,Primary school completion rate,,,,,,,Zamfara,NGZA36,44.5
2021,Primary school completion rate,,,,,,,Federal Capital Territory,NGFC37,91.2
2021,Lower secondary completion rate,,,,,,,,NG,67.7
2021,Lower secondary completion rate,,Male,,,,,,NG,68.6
2021,Lower secondary completion rate,,Female,,,,,,NG,66.9
2021,Lower secondary completion rate,Urban,,,,,,,NG,85.2
2021,Lower secondary completion rate,Rural,,,,,,,NG,53.5
2021,Lower secondary completion rate,,,,,None,,,NG,41.3
2021,Lower secondary completion rate,,,,,Primary,,,NG,73.0
2021,Lower secondary completion rate,,,,,Junior secondary,,,NG,75.8
2021,Lower secondary completion rate,,,,,Senior secondary,,,NG,90.2
2021,Lower secondary completion rate,,,,,Higher/tertiary,,,NG,95.3
2021,Lower secondary completion rate,,,,,,Hausa,,NG,49.0
2021,Lower secondary completion rate,,,,,,Igbo,,NG,91.7
2021,Lower secondary completion rate,,,,,,Yoruba,,NG,88.1
2021,Lower secondary completion rate,,,,,,Fulani,,NG,31.1
2021,Lower secondary completion rate,,,,,,Kanuri,,NG,41.3
2021,Lower secondary completion rate,,,,,,Ijaw,,NG,85.9
2021,Lower secondary completion rate,,,,,,Tiv,,NG,58.0
2021,Lower secondary completion rate,,,,,,Ibibio,,NG,84.4
2021,Lower secondary completion rate,,,,,,Edo,,NG,86.8
2021,Lower secondary completion rate,,,,,,Other ethnicity,,NG,73.8
2021,Lower secondary completion rate,,,Poorest,,,,,NG,26.8
2021,Lower secondary completion rate,,,Second,,,,,NG,49.0
2021,Lower secondary completion rate,,,Middle,,,,,NG,72.5
2021,Lower secondary completion rate,,,Fourth,,,,,NG,87.2
2021,Lower secondary completion rate,,,Richest,,,,,NG,93.8
2021,Lower secondary completion rate,,,,North  Central,,,,NGNCZ06,69.9
2021,Lower secondary completion rate,,,,North East,,,,NGNEZ05,44.9
2021,Lower secondary completion rate,,,,North West,,,,NGNWZ04,48.8
2021,Lower secondary completion rate,,,,South East,,,,NGSEZ03,91.4
2021,Lower secondary completion rate,,,,South South,,,,NGSSZ02,87.3
2021,Lower secondary completion rate,,,,South West,,,,NGSWZ01,85.2
2021,Lower secondary completion rate,,,,,,,Abia,NGAB01,92.6
2021,Lower secondary completion rate,,,,,,,Adamawa,NGAD02,59.2
2021,Lower secondary completion rate,,,,,,,Akwa Ibom,NGAK03,84.3
2021,Lower secondary completion rate,,,,,,,Anambra,NGAN04,94.3
2021,Lower secondary completion rate,,,,,,,Bauchi,NGBA05,24.6
2021,Lower secondary completion rate,,,,,,,Bayelsa,NGBY06,86.4
2021,Lower secondary completion rate,,,,,,,Benue,NGBE07,70.5
2021,Lower secondary completion rate,,,,,,,Borno,NGBO08,48.3
2021,Lower secondary completion rate,,,,,,,Cross River,NGXR09,82.3
2021,Lower secondary completion rate,,,,,,,Delta,NGDE10,88.0
2021,Lower secondary completion rate,,,,,,,Ebonyi,NGEB11,91.5
2021,Lower secondary completion rate,,,,,,,Edo,NGED12,86.0
2021,Lower secondary completion rate,,,,,,,Ekiti,NGEK13,90.5
2021,Lower secondary completion rate,,,,,,,Enugu,NGEN14,88.0
2021,Lower secondary completion rate,,,,,,,Gombe,NGGO15,48.6
2021,Lower secondary completion rate,,,,,,,Imo,NGIM16,89.0
2021,Lower secondary completion rate,,,,,,,Jigawa,NGJI17,30.6
2021,Lower secondary completion rate,,,,,,,Kaduna,NGKD18,60.5
2021,Lower secondary completion rate,,,,,,,Kano,NGKN19,63.8
2021,Lower secondary completion rate,,,,,,,Katsina,NGKT20,46.6
2021,Lower secondary completion rate,,,,,,,Kebbi,NGKE21,32.1
2021,Lower secondary completion rate,,,,,,,Kogi,NGKO22,78.4
2021,Lower secondary completion rate,,,,,,,Kwara,NGKW23,70.7
2021,Lower secondary completion rate,,,,,,,Lagos,NGLA24,88.6
2021,Lower secondary completion rate,,,,,,,Nasarawa,NGNA25,61.7
2021,Lower secondary completion rate,,,,,,,Niger,NGNI26,59.1
2021,Lower secondary completion rate,,,,,,,Ogun,NGOG27,80.4
2021,Lower secondary completion rate,,,,,,,Ondo,NGON28,87.2
2021,Lower secondary completion rate,,,,,,,Osun,NGOS29,84.1
2021,Lower secondary completion rate,,,,,,,Oyo,NGOY30,81.5
2021,Lower secondary completion rate,,,,,,,Plateau,NGPL31,69.9
