Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Form of violence,Units,GeoCode,Value
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Enugu,Emotional Violence,Percentage (%),NGEN14,13.2
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Gombe,Emotional Violence,Percentage (%),NGGO15,66.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Imo,Emotional Violence,Percentage (%),NGIM16,35.1
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Jigawa,Emotional Violence,Percentage (%),NGJI17,9.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kaduna,Emotional Violence,Percentage (%),NGKD18,53.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kano,Emotional Violence,Percentage (%),NGKN19,14.2
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Katsina,Emotional Violence,Percentage (%),NGKT20,10.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kebbi,Emotional Violence,Percentage (%),NGKE21,13.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kogi,Emotional Violence,Percentage (%),NGKO22,58.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kwara,Emotional Violence,Percentage (%),NGKW23,27.1
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Lagos,Emotional Violence,Percentage (%),NGLA24,13.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Nasarawa,Emotional Violence,Percentage (%),NGNA25,9.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Niger,Emotional Violence,Percentage (%),NGNI26,33.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Ogun,Emotional Violence,Percentage (%),NGOG27,12.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Ondo,Emotional Violence,Percentage (%),NGON28,10.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Osun,Emotional Violence,Percentage (%),NGOS29,14.2
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Oyo,Emotional Violence,Percentage (%),NGOY30,10.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Plateau,Emotional Violence,Percentage (%),NGPL31,47.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Rivers,Emotional Violence,Percentage (%),NGRI32,27.1
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Sokoto,Emotional Violence,Percentage (%),NGSO33,30.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Taraba,Emotional Violence,Percentage (%),NGTA34,32.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Yobe,Emotional Violence,Percentage (%),NGYO35,22.1
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Zamfara,Emotional Violence,Percentage (%),NGZA36,17.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Federal Capital Territory,Emotional Violence,Percentage (%),NGFC37,11.3
