Year,Series,Gender,Sector,Ethnicity,Education level,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Kanuri,,,,,,NG,18.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Ijaw,,,,,,NG,21.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Tiv,,,,,,NG,18.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Ibibio,,,,,,NG,19.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Edo,,,,,,NG,31.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Other ethnicity,,,,,,NG,20.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,Poorest,,,,NG,19.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,Second,,,,NG,21.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,Middle,,,,NG,19.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,Fourth,,,,NG,18.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,Richest,,,,NG,15.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,North  Central,,,NGNCZ06,19.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,North East,,,NGNEZ05,18.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,North West,,,NGNWZ04,22.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,South East,,,NGSEZ03,20.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,South South,,,NGSSZ02,25.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,South West,,,NGSWZ01,8.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Abia,,NGAB01,22.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Adamawa,,NGAD02,13.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Akwa Ibom,,NGAK03,16.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Anambra,,NGAN04,19.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Bauchi,,NGBA05,25.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Bayelsa,,NGBY06,28.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Benue,,NGBE07,15.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Borno,,NGBO08,20.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Cross River,,NGXR09,23.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Delta,,NGDE10,22.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Ebonyi,,NGEB11,16.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Edo,,NGED12,33.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Ekiti,,NGEK13,9.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Enugu,,NGEN14,22.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Gombe,,NGGO15,9.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Imo,,NGIM16,19.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Jigawa,,NGJI17,16.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Kaduna,,NGKD18,25.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Kano,,NGKN19,18.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Katsina,,NGKT20,23.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Kebbi,,NGKE21,20.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Kogi,,NGKO22,16.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Kwara,,NGKW23,11.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Lagos,,NGLA24,9.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Nasarawa,,NGNA25,26.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Niger,,NGNI26,22.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Ogun,,NGOG27,7.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Ondo,,NGON28,4.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Osun,,NGOS29,8.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Oyo,,NGOY30,10.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Plateau,,NGPL31,21.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Rivers,,NGRI32,27.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Sokoto,,NGSO33,17.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Taraba,,NGTA34,15.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Yobe,,NGYO35,20.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Zamfara,,NGZA36,45.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,Federal Capital Territory,,NGFC37,21.4
