Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Religion,Marital status,Units,GeoCode,Value
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Jigawa,,,Percentage (%),NGJI17,0.9
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Kaduna,,,Percentage (%),NGKD18,7.9
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Kano,,,Percentage (%),NGKN19,2.2
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Katsina,,,Percentage (%),NGKT20,3.2
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Kebbi,,,Percentage (%),NGKE21,0.4
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Kogi,,,Percentage (%),NGKO22,3.1
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Kwara,,,Percentage (%),NGKW23,1.5
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Lagos,,,Percentage (%),NGLA24,0.2
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Nasarawa,,,Percentage (%),NGNA25,1.9
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Niger,,,Percentage (%),NGNI26,3.2
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Ogun,,,Percentage (%),NGOG27,0.0
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Ondo,,,Percentage (%),NGON28,1.6
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Osun,,,Percentage (%),NGOS29,4.0
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Oyo,,,Percentage (%),NGOY30,2.3
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Plateau,,,Percentage (%),NGPL31,10.0
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Rivers,,,Percentage (%),NGRI32,4.9
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Sokoto,,,Percentage (%),NGSO33,0.7
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Taraba,,,Percentage (%),NGTA34,4.5
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Yobe,,,Percentage (%),NGYO35,3.3
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Zamfara,,,Percentage (%),NGZA36,2.5
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Federal Capital Territory,,,Percentage (%),NGFC37,1.3
