Year,Series,Sector,Gender,Geopolitical zone,Wealth Index Quintile,State,Units,GeoCode,Value
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Cross River,Percentage (%),NGXR09,68.4
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Delta,Percentage (%),NGDE10,49.8
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Ebonyi,Percentage (%),NGEB11,49.6
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Edo,Percentage (%),NGED12,48.2
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Ekiti,Percentage (%),NGEK13,33.3
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Enugu,Percentage (%),NGEN14,31.1
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Gombe,Percentage (%),NGGO15,35.5
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Imo,Percentage (%),NGIM16,65.4
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Jigawa,Percentage (%),NGJI17,35.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Kaduna,Percentage (%),NGKD18,37.2
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Kano,Percentage (%),NGKN19,23.4
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Katsina,Percentage (%),NGKT20,23.4
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Kebbi,Percentage (%),NGKE21,48.3
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Kogi,Percentage (%),NGKO22,56.6
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Kwara,Percentage (%),NGKW23,47.7
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Lagos,Percentage (%),NGLA24,19.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Nasarawa,Percentage (%),NGNA25,36.3
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Niger,Percentage (%),NGNI26,47.9
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Ogun,Percentage (%),NGOG27,37.9
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Ondo,Percentage (%),NGON28,40.6
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Osun,Percentage (%),NGOS29,18.5
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Oyo,Percentage (%),NGOY30,47.1
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Plateau,Percentage (%),NGPL31,56.5
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Rivers,Percentage (%),NGRI32,20.8
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Sokoto,Percentage (%),NGSO33,12.3
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Taraba,Percentage (%),NGTA34,53.5
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Yobe,Percentage (%),NGYO35,49.8
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Zamfara,Percentage (%),NGZA36,28.9
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,Federal Capital Territory,Percentage (%),NGFC37,36.3
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,,,,Number of children,NG,24673485.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,Male,,,,Number of children,NG,2353021.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,Female,,,,Number of children,NG,2197216.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",Urban,,,,,Number of children,NG,1504773.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",Rural,,,,,Number of children,NG,3039041.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",Urban,Male,,,,Number of children,NG,750326.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",Rural,Male,,,,Number of children,NG,1602695.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",Urban,Female,,,,Number of children,NG,754447.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",Rural,Female,,,,Number of children,NG,1442769.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,North Central,,,Number of children,NGNCZ06,748039.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,North East,,,Number of children,NGNEZ05,671119.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,North West,,,Number of children,NGNWZ04,992690.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,South East,,,Number of children,NGSEZ03,629823.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,South South,,,Number of children,NGSSZ02,741225.0
2022,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",,,South West,,,Number of children,NGSWZ01,767342.0
2022,"Proportion and number of children aged 5-17 years engaged in child labour, by sex and age",,,,,,Percentage (%),NG,39.2
2022,"Proportion and number of children aged 5-17 years engaged in child labour, by sex and age",,Male,,,,Percentage (%),NG,39.6
2022,"Proportion and number of children aged 5-17 years engaged in child labour, by sex and age",,Female,,,,Percentage (%),NG,38.8
2022,"Proportion and number of children aged 5-17 years engaged in child labour, by sex and age",Urban,,,,,Percentage (%),NG,30.0
