Year,Access to Basic Services,Place of Residence,Wealth Index Quintile,Geopolitical zones,Education Status,State,Value
2021,Television,,,,,Abia,54.8
2021,Internet,,,,,Abia,18.0
2021,Telephone,,,,,Abia,94.7
2017,Water,,,,,Adamawa,53.9
2017,Sanitation,,,,,Adamawa,38.9
2017,Electricity,,,,,Adamawa,32.7
2017,Radio,,,,,Adamawa,64.4
2017,Television,,,,,Adamawa,32.7
2017,Internet,,,,,Adamawa,
2017,Telephone,,,,,Adamawa,68.0
2021,Water,,,,,Adamawa,56.6
2021,Sanitation,,,,,Adamawa,33.3
2021,Electricity,,,,,Adamawa,28.8
2021,Radio,,,,,Adamawa,34.5
2021,Television,,,,,Adamawa,19.1
2021,Internet,,,,,Adamawa,17.0
2021,Telephone,,,,,Adamawa,76.8
2017,Water,,,,,Akwa-Ibom,80.3
2017,Sanitation,,,,,Akwa-Ibom,46.3
2017,Electricity,,,,,Akwa-Ibom,75.0
2017,Radio,,,,,Akwa-Ibom,60.8
2017,Television,,,,,Akwa-Ibom,67.9
2017,Internet,,,,,Akwa-Ibom,
2017,Telephone,,,,,Akwa-Ibom,86.3
2021,Water,,,,,Akwa-Ibom,72.8
2021,Sanitation,,,,,Akwa-Ibom,54.7
2021,Electricity,,,,,Akwa-Ibom,52.3
2021,Radio,,,,,Akwa-Ibom,49.0
2021,Television,,,,,Akwa-Ibom,35.2
2021,Internet,,,,,Akwa-Ibom,27.7
2021,Telephone,,,,,Akwa-Ibom,83.8
2017,Water,,,,,Anambra,84.4
2017,Sanitation,,,,,Anambra,56.7
2017,Electricity,,,,,Anambra,71.5
2017,Radio,,,,,Anambra,71.1
2017,Television,,,,,Anambra,73.8
2017,Internet,,,,,Anambra,
2017,Telephone,,,,,Anambra,86.9
2021,Water,,,,,Anambra,90.9
2021,Sanitation,,,,,Anambra,69.3
2021,Electricity,,,,,Anambra,91.0
2021,Radio,,,,,Anambra,58.5
2021,Television,,,,,Anambra,76.7
2021,Internet,,,,,Anambra,45.6
2021,Telephone,,,,,Anambra,97.4
2017,Water,,,,,Bauchi,60.2
2017,Sanitation,,,,,Bauchi,37.8
2017,Electricity,,,,,Bauchi,29.0
2017,Radio,,,,,Bauchi,62.8
2017,Television,,,,,Bauchi,17.2
2017,Internet,,,,,Bauchi,
2017,Telephone,,,,,Bauchi,54.6
2021,Water,,,,,Bauchi,55.3
2021,Sanitation,,,,,Bauchi,34.2
2021,Electricity,,,,,Bauchi,17.2
2021,Radio,,,,,Bauchi,24.0
2021,Television,,,,,Bauchi,7.9
2021,Internet,,,,,Bauchi,13.5
2021,Telephone,,,,,Bauchi,77.9
2017,Water,,,,,Bayelsa,60.6
2017,Sanitation,,,,,Bayelsa,20.9
2017,Electricity,,,,,Bayelsa,46.6
2017,Radio,,,,,Bayelsa,44.8
2017,Television,,,,,Bayelsa,61.3
2017,Internet,,,,,Bayelsa,
2017,Telephone,,,,,Bayelsa,80.3
2021,Water,,,,,Bayelsa,54.2
2021,Sanitation,,,,,Bayelsa,24.5
2021,Electricity,,,,,Bayelsa,47.6
2021,Radio,,,,,Bayelsa,25.8
2021,Television,,,,,Bayelsa,42.5
2021,Internet,,,,,Bayelsa,31.4
2021,Telephone,,,,,Bayelsa,86.6
2017,Water,,,,,Benue,64.3
2017,Sanitation,,,,,Benue,22.2
2017,Electricity,,,,,Benue,34.5
2017,Radio,,,,,Benue,52.2
2017,Television,,,,,Benue,38.5
2017,Internet,,,,,Benue,
2017,Telephone,,,,,Benue,86.2
2021,Water,,,,,Benue,51.8
2021,Sanitation,,,,,Benue,33.1
2021,Electricity,,,,,Benue,33.2
2021,Radio,,,,,Benue,37.9
2021,Television,,,,,Benue,24.3
2021,Internet,,,,,Benue,18.4
2021,Telephone,,,,,Benue,79.2
2017,Water,,,,,Borno,47.0
2017,Sanitation,,,,,Borno,52.3
2017,Electricity,,,,,Borno,63.4
2017,Radio,,,,,Borno,47.7
2017,Television,,,,,Borno,49.5
2017,Internet,,,,,Borno,
2017,Telephone,,,,,Borno,91.9
2021,Water,,,,,Borno,69.2
2021,Sanitation,,,,,Borno,55.2
2021,Electricity,,,,,Borno,45.3
2021,Radio,,,,,Borno,23.1
2021,Television,,,,,Borno,21.7
2021,Internet,,,,,Borno,21.2
2021,Telephone,,,,,Borno,87.6
2017,Water,,,,,Cross-River,53.9
2017,Sanitation,,,,,Cross-River,25.5
2017,Electricity,,,,,Cross-River,38.1
2017,Radio,,,,,Cross-River,53.4
2017,Television,,,,,Cross-River,49.1
2017,Internet,,,,,Cross-River,
2017,Telephone,,,,,Cross-River,72.9
2021,Water,,,,,Cross-River,51.7
2021,Sanitation,,,,,Cross-River,18.2
2021,Electricity,,,,,Cross-River,28.2
2021,Radio,,,,,Cross-River,37.3
2021,Television,,,,,Cross-River,22.9
2021,Internet,,,,,Cross-River,25.3
2021,Telephone,,,,,Cross-River,74.1
2017,Water,,,,,Delta,79.4
2017,Sanitation,,,,,Delta,38.1
2017,Electricity,,,,,Delta,71.6
2017,Radio,,,,,Delta,51.8
2017,Television,,,,,Delta,69.9
2017,Internet,,,,,Delta,
2017,Telephone,,,,,Delta,81.4
2021,Water,,,,,Delta,79.1
2021,Sanitation,,,,,Delta,46.7
2021,Electricity,,,,,Delta,72.5
2021,Radio,,,,,Delta,42.6
2021,Television,,,,,Delta,59.1
2021,Internet,,,,,Delta,40.3
2021,Telephone,,,,,Delta,88.8
2017,Water,,,,,Ebonyi,76.4
2017,Sanitation,,,,,Ebonyi,12.1
2017,Electricity,,,,,Ebonyi,31.1
2017,Radio,,,,,Ebonyi,55.5
2017,Television,,,,,Ebonyi,34.7
2017,Internet,,,,,Ebonyi,
2017,Telephone,,,,,Ebonyi,54.6
2021,Water,,,,,Ebonyi,85.7
2021,Sanitation,,,,,Ebonyi,67.0
2021,Electricity,,,,,Ebonyi,48.4
2021,Radio,,,,,Ebonyi,52.4
2021,Television,,,,,Ebonyi,48.6
2021,Internet,,,,,Ebonyi,59.4
2021,Telephone,,,,,Ebonyi,93.8
2017,Water,,,,,Edo,87.9
2017,Sanitation,,,,,Edo,51.6
2017,Electricity,,,,,Edo,85.5
2017,Radio,,,,,Edo,60.7
2017,Television,,,,,Edo,77.7
2017,Internet,,,,,Edo,
2017,Telephone,,,,,Edo,86.4
2021,Water,,,,,Edo,93.5
2021,Sanitation,,,,,Edo,49.6
2021,Electricity,,,,,Edo,88.9
2021,Radio,,,,,Edo,49.5
2021,Television,,,,,Edo,75.0
2021,Internet,,,,,Edo,44.7
2021,Telephone,,,,,Edo,95.5
