Year,Series,Sector,Category of school,School type,Geopolitical zone,State,Type of service,Units,GeoCode,Value
2021,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Proportion of Schools with basic water supply,Percentage (%),NGAK03,35.4
2021,"Proportion of schools access basic services, by type of service",,,,,Anambra,Proportion of Schools with basic water supply,Percentage (%),NGAN04,42.3
2021,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Proportion of Schools with basic water supply,Percentage (%),NGBA05,36.5
2021,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Proportion of Schools with basic water supply,Percentage (%),NGBY06,4.8
2021,"Proportion of schools access basic services, by type of service",,,,,Benue,Proportion of Schools with basic water supply,Percentage (%),NGBE07,43.7
2021,"Proportion of schools access basic services, by type of service",,,,,Borno,Proportion of Schools with basic water supply,Percentage (%),NGBO08,45.6
2021,"Proportion of schools access basic services, by type of service",,,,,Cross River,Proportion of Schools with basic water supply,Percentage (%),NGXR09,34.0
2021,"Proportion of schools access basic services, by type of service",,,,,Delta,Proportion of Schools with basic water supply,Percentage (%),NGDE10,30.7
2021,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Proportion of Schools with basic water supply,Percentage (%),NGEB11,32.9
2021,"Proportion of schools access basic services, by type of service",,,,,Edo,Proportion of Schools with basic water supply,Percentage (%),NGED12,30.3
2021,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Proportion of Schools with basic water supply,Percentage (%),NGEK13,42.9
2021,"Proportion of schools access basic services, by type of service",,,,,Enugu,Proportion of Schools with basic water supply,Percentage (%),NGEN14,7.9
2021,"Proportion of schools access basic services, by type of service",,,,,Gombe,Proportion of Schools with basic water supply,Percentage (%),NGGO15,66.5
2021,"Proportion of schools access basic services, by type of service",,,,,Imo,Proportion of Schools with basic water supply,Percentage (%),NGIM16,9.2
2021,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Proportion of Schools with basic water supply,Percentage (%),NGJI17,30.4
2021,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Proportion of Schools with basic water supply,Percentage (%),NGKD18,47.0
2021,"Proportion of schools access basic services, by type of service",,,,,Kano,Proportion of Schools with basic water supply,Percentage (%),NGKN19,45.5
2021,"Proportion of schools access basic services, by type of service",,,,,Katsina,Proportion of Schools with basic water supply,Percentage (%),NGKT20,55.8
2021,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Proportion of Schools with basic water supply,Percentage (%),NGKE21,38.2
2021,"Proportion of schools access basic services, by type of service",,,,,Kogi,Proportion of Schools with basic water supply,Percentage (%),NGKO22,38.4
2021,"Proportion of schools access basic services, by type of service",,,,,Kwara,Proportion of Schools with basic water supply,Percentage (%),NGKW23,12.1
2021,"Proportion of schools access basic services, by type of service",,,,,Lagos,Proportion of Schools with basic water supply,Percentage (%),NGLA24,56.5
2021,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Proportion of Schools with basic water supply,Percentage (%),NGNA25,24.5
2021,"Proportion of schools access basic services, by type of service",,,,,Niger,Proportion of Schools with basic water supply,Percentage (%),NGNI26,40.3
2021,"Proportion of schools access basic services, by type of service",,,,,Ogun,Proportion of Schools with basic water supply,Percentage (%),NGOG27,35.8
2021,"Proportion of schools access basic services, by type of service",,,,,Ondo,Proportion of Schools with basic water supply,Percentage (%),NGON28,25.7
2021,"Proportion of schools access basic services, by type of service",,,,,Osun,Proportion of Schools with basic water supply,Percentage (%),NGOS29,27.0
2021,"Proportion of schools access basic services, by type of service",,,,,Oyo,Proportion of Schools with basic water supply,Percentage (%),NGOY30,39.7
2021,"Proportion of schools access basic services, by type of service",,,,,Plateau,Proportion of Schools with basic water supply,Percentage (%),NGPL31,35.8
2021,"Proportion of schools access basic services, by type of service",,,,,Rivers,Proportion of Schools with basic water supply,Percentage (%),NGRI32,24.7
2021,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Proportion of Schools with basic water supply,Percentage (%),NGSO33,41.4
2021,"Proportion of schools access basic services, by type of service",,,,,Taraba,Proportion of Schools with basic water supply,Percentage (%),NGTA34,13.6
2021,"Proportion of schools access basic services, by type of service",,,,,Yobe,Proportion of Schools with basic water supply,Percentage (%),NGYO35,37.7
2021,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Proportion of Schools with basic water supply,Percentage (%),NGZA36,28.1
2021,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Proportion of Schools with basic water supply,Percentage (%),NGFC37,74.1
2019,"Proportion of schools access basic services, by type of service",,,,,,Avaliability of perimeter fencing,Percentage (%),NG,25.8
2019,"Proportion of schools access basic services, by type of service",,,,North Central,,Avaliability of perimeter fencing,Percentage (%),NGNCZ06,14.9
2019,"Proportion of schools access basic services, by type of service",,,,North East,,Avaliability of perimeter fencing,Percentage (%),NGNEZ05,26.2
2019,"Proportion of schools access basic services, by type of service",,,,North West,,Avaliability of perimeter fencing,Percentage (%),NGNWZ04,22.9
2019,"Proportion of schools access basic services, by type of service",,,,South East,,Avaliability of perimeter fencing,Percentage (%),NGSEZ03,26.3
2019,"Proportion of schools access basic services, by type of service",,,,South South,,Avaliability of perimeter fencing,Percentage (%),NGSSZ02,34.8
2019,"Proportion of schools access basic services, by type of service",,,,South West,,Avaliability of perimeter fencing,Percentage (%),NGSWZ01,43.4
2019,"Proportion of schools access basic services, by type of service",Urban,,,,,Avaliability of perimeter fencing,Percentage (%),NG,58.3
2019,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Avaliability of perimeter fencing,Percentage (%),NG,36.2
2019,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Avaliability of perimeter fencing,Percentage (%),NG,67.5
2019,"Proportion of schools access basic services, by type of service",Rural,,,,,Avaliability of perimeter fencing,Percentage (%),NG,15.4
2019,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Avaliability of perimeter fencing,Percentage (%),NG,9.5
2019,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Avaliability of perimeter fencing,Percentage (%),NG,14.3
2019,"Proportion of schools access basic services, by type of service",Small Town,,,,,Avaliability of perimeter fencing,Percentage (%),NG,20.9
2019,"Proportion of schools access basic services, by type of service",,,Primary,,,Avaliability of perimeter fencing,Percentage (%),NG,22.4
2019,"Proportion of schools access basic services, by type of service",,,Secondary,,,Avaliability of perimeter fencing,Percentage (%),NG,39.0
2019,"Proportion of schools access basic services, by type of service",,,,,Abia,Avaliability of perimeter fencing,Percentage (%),NGAB01,27.8
