Year,Series,Sector,Category of school,School type,Geopolitical zone,State,Type of service,Units,GeoCode,Value
2019,"Proportion of schools access basic services, by type of service",,,,,Kwara,Availiabilty of Handwashing Facilities,Percentage (%),NGKW23,27.0
2019,"Proportion of schools access basic services, by type of service",,,,,Lagos,Availiabilty of Handwashing Facilities,Percentage (%),NGLA24,58.5
2019,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Availiabilty of Handwashing Facilities,Percentage (%),NGNA25,2.1
2019,"Proportion of schools access basic services, by type of service",,,,,Niger,Availiabilty of Handwashing Facilities,Percentage (%),NGNI26,8.3
2019,"Proportion of schools access basic services, by type of service",,,,,Ogun,Availiabilty of Handwashing Facilities,Percentage (%),NGOG27,37.0
2019,"Proportion of schools access basic services, by type of service",,,,,Ondo,Availiabilty of Handwashing Facilities,Percentage (%),NGON28,43.3
2019,"Proportion of schools access basic services, by type of service",,,,,Osun,Availiabilty of Handwashing Facilities,Percentage (%),NGOS29,37.0
2019,"Proportion of schools access basic services, by type of service",,,,,Oyo,Availiabilty of Handwashing Facilities,Percentage (%),NGOY30,32.2
2019,"Proportion of schools access basic services, by type of service",,,,,Plateau,Availiabilty of Handwashing Facilities,Percentage (%),NGPL31,26.5
2019,"Proportion of schools access basic services, by type of service",,,,,Rivers,Availiabilty of Handwashing Facilities,Percentage (%),NGRI32,55.2
2019,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Availiabilty of Handwashing Facilities,Percentage (%),NGSO33,2.1
2019,"Proportion of schools access basic services, by type of service",,,,,Taraba,Availiabilty of Handwashing Facilities,Percentage (%),NGTA34,0.0
2019,"Proportion of schools access basic services, by type of service",,,,,Yobe,Availiabilty of Handwashing Facilities,Percentage (%),NGYO35,18.3
2019,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Availiabilty of Handwashing Facilities,Percentage (%),NGZA36,14.0
2019,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Availiabilty of Handwashing Facilities,Percentage (%),NGFC37,41.2
2019,"Proportion of schools access basic services, by type of service",,,,,,Enviroment Health in Schools,Percentage (%),NG,14.8
2019,"Proportion of schools access basic services, by type of service",,,,North Central,,Enviroment Health in Schools,Percentage (%),NGNCZ06,9.9
2019,"Proportion of schools access basic services, by type of service",,,,North East,,Enviroment Health in Schools,Percentage (%),NGNEZ05,9.3
2019,"Proportion of schools access basic services, by type of service",,,,North West,,Enviroment Health in Schools,Percentage (%),NGNWZ04,24.1
2019,"Proportion of schools access basic services, by type of service",,,,South East,,Enviroment Health in Schools,Percentage (%),NGSEZ03,12.9
2019,"Proportion of schools access basic services, by type of service",,,,South South,,Enviroment Health in Schools,Percentage (%),NGSSZ02,11.6
2019,"Proportion of schools access basic services, by type of service",,,,South West,,Enviroment Health in Schools,Percentage (%),NGSWZ01,17.4
2019,"Proportion of schools access basic services, by type of service",Urban,,,,,Enviroment Health in Schools,Percentage (%),NG,23.7
2019,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Enviroment Health in Schools,Percentage (%),NG,25.0
2019,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Enviroment Health in Schools,Percentage (%),NG,23.2
2019,"Proportion of schools access basic services, by type of service",Rural,,,,,Enviroment Health in Schools,Percentage (%),NG,11.9
2019,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Enviroment Health in Schools,Percentage (%),NG,26.6
2019,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Enviroment Health in Schools,Percentage (%),NG,10.9
2019,"Proportion of schools access basic services, by type of service",Small Town,,,,,Enviroment Health in Schools,Percentage (%),NG,12.8
2019,"Proportion of schools access basic services, by type of service",,,Primary,,,Enviroment Health in Schools,Percentage (%),NG,12.7
2019,"Proportion of schools access basic services, by type of service",,,Secondary,,,Enviroment Health in Schools,Percentage (%),NG,22.8
2019,"Proportion of schools access basic services, by type of service",,,,,Abia,Enviroment Health in Schools,Percentage (%),NGAB01,10.0
2019,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Enviroment Health in Schools,Percentage (%),NGAD02,2.1
2019,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Enviroment Health in Schools,Percentage (%),NGAK03,6.2
2019,"Proportion of schools access basic services, by type of service",,,,,Anambra,Enviroment Health in Schools,Percentage (%),NGAN04,30.5
2019,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Enviroment Health in Schools,Percentage (%),NGBA05,10.5
2019,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Enviroment Health in Schools,Percentage (%),NGBY06,9.8
2019,"Proportion of schools access basic services, by type of service",,,,,Benue,Enviroment Health in Schools,Percentage (%),NGBE07,5.7
2019,"Proportion of schools access basic services, by type of service",,,,,Borno,Enviroment Health in Schools,Percentage (%),NGBO08,4.9
2019,"Proportion of schools access basic services, by type of service",,,,,Cross River,Enviroment Health in Schools,Percentage (%),NGXR09,23.9
2019,"Proportion of schools access basic services, by type of service",,,,,Delta,Enviroment Health in Schools,Percentage (%),NGDE10,15.5
2019,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Enviroment Health in Schools,Percentage (%),NGEB11,10.0
2019,"Proportion of schools access basic services, by type of service",,,,,Edo,Enviroment Health in Schools,Percentage (%),NGED12,6.4
2019,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Enviroment Health in Schools,Percentage (%),NGEK13,15.9
2019,"Proportion of schools access basic services, by type of service",,,,,Enugu,Enviroment Health in Schools,Percentage (%),NGEN14,7.1
2019,"Proportion of schools access basic services, by type of service",,,,,Gombe,Enviroment Health in Schools,Percentage (%),NGGO15,8.3
2019,"Proportion of schools access basic services, by type of service",,,,,Imo,Enviroment Health in Schools,Percentage (%),NGIM16,5.7
2019,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Enviroment Health in Schools,Percentage (%),NGJI17,69.9
2019,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Enviroment Health in Schools,Percentage (%),NGKD18,22.9
2019,"Proportion of schools access basic services, by type of service",,,,,Kano,Enviroment Health in Schools,Percentage (%),NGKN19,17.5
2019,"Proportion of schools access basic services, by type of service",,,,,Katsina,Enviroment Health in Schools,Percentage (%),NGKT20,47.6
2019,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Enviroment Health in Schools,Percentage (%),NGKE21,24.0
2019,"Proportion of schools access basic services, by type of service",,,,,Kogi,Enviroment Health in Schools,Percentage (%),NGKO22,2.0
2019,"Proportion of schools access basic services, by type of service",,,,,Kwara,Enviroment Health in Schools,Percentage (%),NGKW23,18.6
2019,"Proportion of schools access basic services, by type of service",,,,,Lagos,Enviroment Health in Schools,Percentage (%),NGLA24,53.1
2019,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Enviroment Health in Schools,Percentage (%),NGNA25,7.9
2019,"Proportion of schools access basic services, by type of service",,,,,Niger,Enviroment Health in Schools,Percentage (%),NGNI26,15.6
2019,"Proportion of schools access basic services, by type of service",,,,,Ogun,Enviroment Health in Schools,Percentage (%),NGOG27,4.0
2019,"Proportion of schools access basic services, by type of service",,,,,Ondo,Enviroment Health in Schools,Percentage (%),NGON28,19.2
2019,"Proportion of schools access basic services, by type of service",,,,,Osun,Enviroment Health in Schools,Percentage (%),NGOS29,10.7
2019,"Proportion of schools access basic services, by type of service",,,,,Oyo,Enviroment Health in Schools,Percentage (%),NGOY30,10.2
2019,"Proportion of schools access basic services, by type of service",,,,,Plateau,Enviroment Health in Schools,Percentage (%),NGPL31,10.2
2019,"Proportion of schools access basic services, by type of service",,,,,Rivers,Enviroment Health in Schools,Percentage (%),NGRI32,8.5
2019,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Enviroment Health in Schools,Percentage (%),NGSO33,5.1
2019,"Proportion of schools access basic services, by type of service",,,,,Taraba,Enviroment Health in Schools,Percentage (%),NGTA34,11.6
2019,"Proportion of schools access basic services, by type of service",,,,,Yobe,Enviroment Health in Schools,Percentage (%),NGYO35,28.7
2019,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Enviroment Health in Schools,Percentage (%),NGZA36,6.0
2019,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Enviroment Health in Schools,Percentage (%),NGFC37,34.7
2019,"Proportion of schools access basic services, by type of service",,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,33.3
2019,"Proportion of schools access basic services, by type of service",,,,North Central,,Proportion of Schools with basic water supply,Percentage (%),NGNCZ06,26.9
2019,"Proportion of schools access basic services, by type of service",,,,North East,,Proportion of Schools with basic water supply,Percentage (%),NGNEZ05,40.4
2019,"Proportion of schools access basic services, by type of service",,,,North West,,Proportion of Schools with basic water supply,Percentage (%),NGNWZ04,44.7
2019,"Proportion of schools access basic services, by type of service",,,,South East,,Proportion of Schools with basic water supply,Percentage (%),NGSEZ03,17.4
2019,"Proportion of schools access basic services, by type of service",,,,South South,,Proportion of Schools with basic water supply,Percentage (%),NGSSZ02,18.8
2019,"Proportion of schools access basic services, by type of service",,,,South West,,Proportion of Schools with basic water supply,Percentage (%),NGSWZ01,35.3
2019,"Proportion of schools access basic services, by type of service",Urban,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,48.8
2019,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,42.5
2019,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,51.4
2019,"Proportion of schools access basic services, by type of service",Rural,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,27.5
2019,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,34.8
2019,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,26.4
2019,"Proportion of schools access basic services, by type of service",Small Town,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,30.6
2019,"Proportion of schools access basic services, by type of service",,,Primary,,,Proportion of Schools with basic water supply,Percentage (%),NG,43.7
2019,"Proportion of schools access basic services, by type of service",,,Secondary,,,Proportion of Schools with basic water supply,Percentage (%),NG,59.8
2019,"Proportion of schools access basic services, by type of service",,,,,Abia,Proportion of Schools with basic water supply,Percentage (%),NGAB01,14.0
2019,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Proportion of Schools with basic water supply,Percentage (%),NGAD02,33.4
2019,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Proportion of Schools with basic water supply,Percentage (%),NGAK03,19.9
2019,"Proportion of schools access basic services, by type of service",,,,,Anambra,Proportion of Schools with basic water supply,Percentage (%),NGAN04,32.7
2019,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Proportion of Schools with basic water supply,Percentage (%),NGBA05,50.0
2019,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Proportion of Schools with basic water supply,Percentage (%),NGBY06,2.0
2019,"Proportion of schools access basic services, by type of service",,,,,Benue,Proportion of Schools with basic water supply,Percentage (%),NGBE07,22.9
2019,"Proportion of schools access basic services, by type of service",,,,,Borno,Proportion of Schools with basic water supply,Percentage (%),NGBO08,71.5
2019,"Proportion of schools access basic services, by type of service",,,,,Cross River,Proportion of Schools with basic water supply,Percentage (%),NGXR09,14.7
2019,"Proportion of schools access basic services, by type of service",,,,,Delta,Proportion of Schools with basic water supply,Percentage (%),NGDE10,22.8
2019,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Proportion of Schools with basic water supply,Percentage (%),NGEB11,20.0
2019,"Proportion of schools access basic services, by type of service",,,,,Edo,Proportion of Schools with basic water supply,Percentage (%),NGED12,16.2
2019,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Proportion of Schools with basic water supply,Percentage (%),NGEK13,37.4
2019,"Proportion of schools access basic services, by type of service",,,,,Enugu,Proportion of Schools with basic water supply,Percentage (%),NGEN14,15.5
2019,"Proportion of schools access basic services, by type of service",,,,,Gombe,Proportion of Schools with basic water supply,Percentage (%),NGGO15,26.8
2019,"Proportion of schools access basic services, by type of service",,,,,Imo,Proportion of Schools with basic water supply,Percentage (%),NGIM16,5.9
2019,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Proportion of Schools with basic water supply,Percentage (%),NGJI17,69.3
2019,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Proportion of Schools with basic water supply,Percentage (%),NGKD18,54.3
2019,"Proportion of schools access basic services, by type of service",,,,,Kano,Proportion of Schools with basic water supply,Percentage (%),NGKN19,41.7
2019,"Proportion of schools access basic services, by type of service",,,,,Katsina,Proportion of Schools with basic water supply,Percentage (%),NGKT20,34.3
2019,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Proportion of Schools with basic water supply,Percentage (%),NGKE21,40.3
2019,"Proportion of schools access basic services, by type of service",,,,,Kogi,Proportion of Schools with basic water supply,Percentage (%),NGKO22,4.0
2019,"Proportion of schools access basic services, by type of service",,,,,Kwara,Proportion of Schools with basic water supply,Percentage (%),NGKW23,44.8
2019,"Proportion of schools access basic services, by type of service",,,,,Lagos,Proportion of Schools with basic water supply,Percentage (%),NGLA24,46.3
2019,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Proportion of Schools with basic water supply,Percentage (%),NGNA25,19.4
2019,"Proportion of schools access basic services, by type of service",,,,,Niger,Proportion of Schools with basic water supply,Percentage (%),NGNI26,38.9
2019,"Proportion of schools access basic services, by type of service",,,,,Ogun,Proportion of Schools with basic water supply,Percentage (%),NGOG27,25.2
2019,"Proportion of schools access basic services, by type of service",,,,,Ondo,Proportion of Schools with basic water supply,Percentage (%),NGON28,49.7
2019,"Proportion of schools access basic services, by type of service",,,,,Osun,Proportion of Schools with basic water supply,Percentage (%),NGOS29,34.4
2019,"Proportion of schools access basic services, by type of service",,,,,Oyo,Proportion of Schools with basic water supply,Percentage (%),NGOY30,26.4
2019,"Proportion of schools access basic services, by type of service",,,,,Plateau,Proportion of Schools with basic water supply,Percentage (%),NGPL31,32.7
2019,"Proportion of schools access basic services, by type of service",,,,,Rivers,Proportion of Schools with basic water supply,Percentage (%),NGRI32,33.9
2019,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Proportion of Schools with basic water supply,Percentage (%),NGSO33,20.6
2019,"Proportion of schools access basic services, by type of service",,,,,Taraba,Proportion of Schools with basic water supply,Percentage (%),NGTA34,13.0
2019,"Proportion of schools access basic services, by type of service",,,,,Yobe,Proportion of Schools with basic water supply,Percentage (%),NGYO35,32.7
2019,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Proportion of Schools with basic water supply,Percentage (%),NGZA36,58.0
2019,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Proportion of Schools with basic water supply,Percentage (%),NGFC37,68.1
