Year,Series,Gender,Sector,Ethnicity,Education level,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,Richest,,,,NG,71.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,North  Central,,,NGNCZ06,63.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,North East,,,NGNEZ05,63.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,North West,,,NGNWZ04,43.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,South East,,,NGSEZ03,68.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,South South,,,NGSSZ02,71.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,South West,,,NGSWZ01,80.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Abia,,NGAB01,66.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Adamawa,,NGAD02,77.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Akwa Ibom,,NGAK03,55.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Anambra,,NGAN04,72.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Bauchi,,NGBA05,65.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Bayelsa,,NGBY06,58.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Benue,,NGBE07,68.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Borno,,NGBO08,58.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Cross River,,NGXR09,68.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Delta,,NGDE10,75.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Ebonyi,,NGEB11,63.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Edo,,NGED12,79.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Ekiti,,NGEK13,91.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Enugu,,NGEN14,57.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Gombe,,NGGO15,64.2
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Imo,,NGIM16,79.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Jigawa,,NGJI17,43.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Kaduna,,NGKD18,37.2
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Kano,,NGKN19,44.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Katsina,,NGKT20,39.2
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Kebbi,,NGKE21,42.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Kogi,,NGKO22,86.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Kwara,,NGKW23,56.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Lagos,,NGLA24,74.2
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Nasarawa,,NGNA25,50.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Niger,,NGNI26,79.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Ogun,,NGOG27,81.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Ondo,,NGON28,88.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Osun,,NGOS29,80.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Oyo,,NGOY30,83.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Plateau,,NGPL31,26.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Rivers,,NGRI32,77.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Sokoto,,NGSO33,60.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Taraba,,NGTA34,45.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Yobe,,NGYO35,60.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Zamfara,,NGZA36,39.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,Federal Capital Territory,,NGFC37,59.5
