Year,Series,Sector,Wealth Index Quintile,Geopolitical zone,State,Units,GeoCode,Value
2018,Proportion of population using (a) safely managed sanitation services,,,,Abia,Percentage (%),NGAB01,33.0
2018,Proportion of population using (a) safely managed sanitation services,,,,Adamawa,Percentage (%),NGAD02,29.1
2018,Proportion of population using (a) safely managed sanitation services,,,,Akwa Ibom,Percentage (%),NGAK03,22.5
2018,Proportion of population using (a) safely managed sanitation services,,,,Anambra,Percentage (%),NGAN04,33.5
2018,Proportion of population using (a) safely managed sanitation services,,,,Bauchi,Percentage (%),NGBA05,23.6
2018,Proportion of population using (a) safely managed sanitation services,,,,Bayelsa,Percentage (%),NGBY06,8.4
2018,Proportion of population using (a) safely managed sanitation services,,,,Benue,Percentage (%),NGBE07,9.3
2018,Proportion of population using (a) safely managed sanitation services,,,,Borno,Percentage (%),NGBO08,9.7
2018,Proportion of population using (a) safely managed sanitation services,,,,Cross River,Percentage (%),NGXR09,22.3
2018,Proportion of population using (a) safely managed sanitation services,,,,Delta,Percentage (%),NGDE10,18.9
2018,Proportion of population using (a) safely managed sanitation services,,,,Ebonyi,Percentage (%),NGEB11,5.1
2018,Proportion of population using (a) safely managed sanitation services,,,,Edo,Percentage (%),NGED12,18.3
2018,Proportion of population using (a) safely managed sanitation services,,,,Ekiti,Percentage (%),NGEK13,14.3
2018,Proportion of population using (a) safely managed sanitation services,,,,Enugu,Percentage (%),NGEN14,21.5
2018,Proportion of population using (a) safely managed sanitation services,,,,Gombe,Percentage (%),NGGO15,36.3
2018,Proportion of population using (a) safely managed sanitation services,,,,Imo,Percentage (%),NGIM16,29.6
2018,Proportion of population using (a) safely managed sanitation services,,,,Jigawa,Percentage (%),NGJI17,6.7
2018,Proportion of population using (a) safely managed sanitation services,,,,Kaduna,Percentage (%),NGKD18,7.4
2018,Proportion of population using (a) safely managed sanitation services,,,,Kano,Percentage (%),NGKN19,28.4
2018,Proportion of population using (a) safely managed sanitation services,,,,Katsina,Percentage (%),NGKT20,39.3
2018,Proportion of population using (a) safely managed sanitation services,,,,Kebbi,Percentage (%),NGKE21,7.8
2018,Proportion of population using (a) safely managed sanitation services,,,,Kogi,Percentage (%),NGKO22,13.0
2018,Proportion of population using (a) safely managed sanitation services,,,,Kwara,Percentage (%),NGKW23,7.7
2018,Proportion of population using (a) safely managed sanitation services,,,,Lagos,Percentage (%),NGLA24,21.8
2018,Proportion of population using (a) safely managed sanitation services,,,,Nasarawa,Percentage (%),NGNA25,19.9
2018,Proportion of population using (a) safely managed sanitation services,,,,Niger,Percentage (%),NGNI26,17.1
2018,Proportion of population using (a) safely managed sanitation services,,,,Ogun,Percentage (%),NGOG27,18.3
2018,Proportion of population using (a) safely managed sanitation services,,,,Ondo,Percentage (%),NGON28,15.7
2018,Proportion of population using (a) safely managed sanitation services,,,,Osun,Percentage (%),NGOS29,16.4
2018,Proportion of population using (a) safely managed sanitation services,,,,Oyo,Percentage (%),NGOY30,12.8
