Year,Series,Gender,Sector,Age group,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,ICT skill,GeoCode,Value
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Jigawa,Used a copy and paste tool to duplicate or move information within a document,NGJI17,1.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kaduna,Used a copy and paste tool to duplicate or move information within a document,NGKD18,13.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kano,Used a copy and paste tool to duplicate or move information within a document,NGKN19,3.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Katsina,Used a copy and paste tool to duplicate or move information within a document,NGKT20,2.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kebbi,Used a copy and paste tool to duplicate or move information within a document,NGKE21,3.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kogi,Used a copy and paste tool to duplicate or move information within a document,NGKO22,3.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kwara,Used a copy and paste tool to duplicate or move information within a document,NGKW23,7.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Lagos,Used a copy and paste tool to duplicate or move information within a document,NGLA24,35.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Nasarawa,Used a copy and paste tool to duplicate or move information within a document,NGNA25,11.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Niger,Used a copy and paste tool to duplicate or move information within a document,NGNI26,4.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Ogun,Used a copy and paste tool to duplicate or move information within a document,NGOG27,9.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Ondo,Used a copy and paste tool to duplicate or move information within a document,NGON28,5.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Osun,Used a copy and paste tool to duplicate or move information within a document,NGOS29,3.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Oyo,Used a copy and paste tool to duplicate or move information within a document,NGOY30,5.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Plateau,Used a copy and paste tool to duplicate or move information within a document,NGPL31,9.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Rivers,Used a copy and paste tool to duplicate or move information within a document,NGRI32,14.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Sokoto,Used a copy and paste tool to duplicate or move information within a document,NGSO33,3.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Taraba,Used a copy and paste tool to duplicate or move information within a document,NGTA34,3.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Yobe,Used a copy and paste tool to duplicate or move information within a document,NGYO35,6.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Zamfara,Used a copy and paste tool to duplicate or move information within a document,NGZA36,2.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Federal Capital Territory,Used a copy and paste tool to duplicate or move information within a document,NGFC37,25.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,8.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,Urban,,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,16.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,Rural,,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,3.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-24,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,5.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-19,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,3.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-17,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,3.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,18-19,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,4.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,20-24,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,9.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,25-29,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,13.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,30-34,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,11.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,35-39,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,12.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,40-44,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,10.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,45-49,,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,8.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Hausa,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,4.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Igbo,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,11.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Yoruba,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,16.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Fulani,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,2.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Kanuri,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,7.2
