Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Yoruba,,,,,NG,1.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Fulani,,,,,NG,38.9
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Kanuri,,,,,NG,45.1
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Ijaw,,,,,NG,0.5
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Tiv,,,,,NG,0.4
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Ibibio,,,,,NG,0.2
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Edo,,,,,NG,0.3
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Other ethnicity,,,,,NG,4.3
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,Poorest,,,,NG,34.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,Second,,,,NG,22.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,Middle,,,,NG,11.7
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,Fourth,,,,NG,4.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,Richest,,,,NG,1.4
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,North  Central,,,NGNCZ06,4.5
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,North East,,,NGNEZ05,28.9
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,North West,,,NGNWZ04,35.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,South East,,,NGSEZ03,0.3
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,South South,,,NGSSZ02,0.4
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,South West,,,NGSWZ01,1.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Abia,,NGAB01,0.4
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Adamawa,,NGAD02,8.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Akwa Ibom,,NGAK03,0.2
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Anambra,,NGAN04,0.1
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Bauchi,,NGBA05,48.2
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Bayelsa,,NGBY06,0.2
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Benue,,NGBE07,0.3
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Borno,,NGBO08,30.2
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Cross River,,NGXR09,0.2
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Delta,,NGDE10,0.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Ebonyi,,NGEB11,0.1
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Edo,,NGED12,0.9
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Ekiti,,NGEK13,1.5
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Enugu,,NGEN14,0.3
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Gombe,,NGGO15,24.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Imo,,NGIM16,0.5
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Jigawa,,NGJI17,31.4
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Kaduna,,NGKD18,13.3
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Kano,,NGKN19,31.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Katsina,,NGKT20,30.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Kebbi,,NGKE21,46.2
