Year,Series,Severity,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Units,GeoCode,Value
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Ekiti,Percentage (%),NGEK13,71.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Enugu,Percentage (%),NGEN14,83.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Gombe,Percentage (%),NGGO15,55.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Imo,Percentage (%),NGIM16,86.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Jigawa,Percentage (%),NGJI17,74.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Kaduna,Percentage (%),NGKD18,86.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Kano,Percentage (%),NGKN19,66.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Katsina,Percentage (%),NGKT20,79.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Kebbi,Percentage (%),NGKE21,74.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Kogi,Percentage (%),NGKO22,82.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Kwara,Percentage (%),NGKW23,73.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Lagos,Percentage (%),NGLA24,67.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Nasarawa,Percentage (%),NGNA25,67.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Niger,Percentage (%),NGNI26,80.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Ogun,Percentage (%),NGOG27,71.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Ondo,Percentage (%),NGON28,62.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Osun,Percentage (%),NGOS29,62.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Oyo,Percentage (%),NGOY30,62.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Plateau,Percentage (%),NGPL31,92.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Rivers,Percentage (%),NGRI32,78.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Sokoto,Percentage (%),NGSO33,60.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Taraba,Percentage (%),NGTA34,81.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Yobe,Percentage (%),NGYO35,82.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Zamfara,Percentage (%),NGZA36,77.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Federal Capital Territory,Percentage (%),NGFC37,70.8
