Year,Series,Severity,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Units,GeoCode,Value
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,South West,,,,Percentage (%),NGSWZ01,66.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,None,,,Percentage (%),NG,74.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,Primary,,,Percentage (%),NG,77.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,Junior Secondary,,,Percentage (%),NG,77.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,Senior Secondary,,,Percentage (%),NG,74.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,Higher/Tertiary,,,Percentage (%),NG,63.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Hausa,,Percentage (%),NG,73.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Igbo,,Percentage (%),NG,74.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Yoruba,,Percentage (%),NG,68.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Fulani,,Percentage (%),NG,69.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Kanuri,,Percentage (%),NG,80.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Ijaw,,Percentage (%),NG,74.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Tiv,,Percentage (%),NG,59.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Ibibio,,Percentage (%),NG,82.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Edo,,Percentage (%),NG,67.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,Other ethnicity,,Percentage (%),NG,77.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Abia,Percentage (%),NGAB01,74.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Adamawa,Percentage (%),NGAD02,59.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Akwa Ibom,Percentage (%),NGAK03,89.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Anambra,Percentage (%),NGAN04,65.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Bauchi,Percentage (%),NGBA05,83.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Bayelsa,Percentage (%),NGBY06,80.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Benue,Percentage (%),NGBE07,62.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Borno,Percentage (%),NGBO08,65.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Cross River,Percentage (%),NGXR09,83.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Delta,Percentage (%),NGDE10,64.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Ebonyi,Percentage (%),NGEB11,77.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,Edo,Percentage (%),NGED12,70.8
