Year,Series,Tenure rights,Sector,Geopolitical zone,Sex,Units,GeoCode,Value
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South West,Female,Percentage (%),NGSWZ01,7.6
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),Urban,,Female,Percentage (%),NG,5.1
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),Rural,,Female,Percentage (%),NG,15.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,,Male,Percentage (%),NG,10.1
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North Central,Male,Percentage (%),NGNCZ06,15.4
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North East,Male,Percentage (%),NGNEZ05,9.8
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North West,Male,Percentage (%),NGNWZ04,8.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South East,Male,Percentage (%),NGSEZ03,10.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South South,Male,Percentage (%),NGSSZ02,3.9
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South West,Male,Percentage (%),NGSWZ01,16.5
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),Urban,,Male,Percentage (%),NG,7.8
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),Rural,,Male,Percentage (%),NG,10.4
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,,Female,Percentage (%),NG,7.2
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North Central,Female,Percentage (%),NGNCZ06,19.1
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North East,Female,Percentage (%),NGNEZ05,12.6
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North West,Female,Percentage (%),NGNWZ04,0.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South East,Female,Percentage (%),NGSEZ03,2.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South South,Female,Percentage (%),NGSSZ02,4.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South West,Female,Percentage (%),NGSWZ01,0.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),Urban,,Female,Percentage (%),NG,4.3
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),Rural,,Female,Percentage (%),NG,7.6
