Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,South East,,,NGSEZ03,82.9
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,South South,,,NGSSZ02,64.6
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,South West,,,NGSWZ01,72.8
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Abia,,NGAB01,82.3
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Adamawa,,NGAD02,65.1
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Akwa Ibom,,NGAK03,61.8
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Anambra,,NGAN04,94.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Bauchi,,NGBA05,26.2
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Bayelsa,,NGBY06,49.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Benue,,NGBE07,44.3
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Borno,,NGBO08,51.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Cross River,,NGXR09,50.2
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Delta,,NGDE10,66.4
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Ebonyi,,NGEB11,76.2
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Edo,,NGED12,87.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Ekiti,,NGEK13,83.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Enugu,,NGEN14,81.4
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Gombe,,NGGO15,29.6
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Imo,,NGIM16,77.8
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Jigawa,,NGJI17,23.6
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kaduna,,NGKD18,55.1
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kano,,NGKN19,35.3
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Katsina,,NGKT20,46.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kebbi,,NGKE21,33.7
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kogi,,NGKO22,63.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kwara,,NGKW23,67.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Lagos,,NGLA24,82.3
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Nasarawa,,NGNA25,37.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Niger,,NGNI26,30.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Ogun,,NGOG27,60.2
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Ondo,,NGON28,68.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Osun,,NGOS29,72.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Oyo,,NGOY30,65.2
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Plateau,,NGPL31,48.8
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Rivers,,NGRI32,71.5
