Year,Series,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,GeoCode,Value
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,South West,,,,NGSWZ01,32
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Pre-primary or none,,,NG,184
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Primary,,,NG,133
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Junior secondary,,,NG,73
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Senior secondary,,,NG,31
2022,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Higher/tertiary,,,NG,7
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Hausa,,NG,117
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Igbo,,NG,27
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Yoruba,,NG,31
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Fulani,,NG,154
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Kanuri,,NG,78
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Ijaw,,NG,99
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Tiv,,NG,84
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Ibibio,,NG,45
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Edo,,NG,25
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Other ethnicity,,NG,58
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Abia,NGAB01,24
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Adamawa,NGAD02,64
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Akwa Ibom,NGAK03,42
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Anambra,NGAN04,16
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Bauchi,NGBA05,166
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Bayelsa,NGBY06,98
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Benue,NGBE07,82
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Borno,NGBO08,100
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Cross River,NGXR09,55
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Delta,NGDE10,41
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Ebonyi,NGEB11,48
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Edo,NGED12,27
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Ekiti,NGEK13,35
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Enugu,NGEN14,32
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Gombe,NGGO15,145
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Imo,NGIM16,29
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Jigawa,NGJI17,156
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kaduna,NGKD18,103
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kano,NGKN19,93
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Katsina,NGKT20,142
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kebbi,NGKE21,135
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kogi,NGKO22,42
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kwara,NGKW23,28
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Lagos,NGLA24,22
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Nasarawa,NGNA25,44
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Niger,NGNI26,74
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Ogun,NGOG27,39
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Ondo,NGON28,39
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Osun,NGOS29,40
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Oyo,NGOY30,26
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Plateau,NGPL31,77
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Rivers,NGRI32,44
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Sokoto,NGSO33,104
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Taraba,NGTA34,89
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Yobe,NGYO35,76
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Zamfara,NGZA36,133
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Federal Capital Territory,NGFC37,46
