Year,Series,Measure,Sector,Geopolitical Zone,State,Unit multiplier,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,South South,,Units,Percentage (%),NGSSZ02,39.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,South West,,Units,Percentage (%),NGSWZ01,37.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Abia,Units,Percentage (%),NGAB01,33.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Adamawa,Units,Percentage (%),NGAD02,41.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Akwa Ibom,Units,Percentage (%),NGAK03,41.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Anambra,Units,Percentage (%),NGAN04,34.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Bauchi,Units,Percentage (%),NGBA05,40.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Bayelsa,Units,Percentage (%),NGBY06,45.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Benue,Units,Percentage (%),NGBE07,41.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Borno,Units,Percentage (%),NGBO08,43.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Cross River,Units,Percentage (%),NGXR09,39.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Delta,Units,Percentage (%),NGDE10,36.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Ebonyi,Units,Percentage (%),NGEB11,41.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Edo,Units,Percentage (%),NGED12,35.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Ekiti,Units,Percentage (%),NGEK13,34.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Enugu,Units,Percentage (%),NGEN14,37.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Gombe,Units,Percentage (%),NGGO15,44.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Imo,Units,Percentage (%),NGIM16,35.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Jigawa,Units,Percentage (%),NGJI17,45.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kaduna,Units,Percentage (%),NGKD18,40.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kano,Units,Percentage (%),NGKN19,40.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Katsina,Units,Percentage (%),NGKT20,41.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kebbi,Units,Percentage (%),NGKE21,46.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kogi,Units,Percentage (%),NGKO22,40.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kwara,Units,Percentage (%),NGKW23,38.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Lagos,Units,Percentage (%),NGLA24,34.3
