Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Age group,Units,GeoCode,Value
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Taraba,,Percentage (%),NGTA34,5.6
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Yobe,,Percentage (%),NGYO35,3.3
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Zamfara,,Percentage (%),NGZA36,5.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Federal Capital Territory,,Percentage (%),NGFC37,19.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,,Percentage (%),NG,39.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Urban,,,,,,,,Percentage (%),NG,50.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Rural,,,,,,,,Percentage (%),NG,30.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Poorest,,,,,,Percentage (%),NG,19.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Second,,,,,,Percentage (%),NG,28.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Middle,,,,,,Percentage (%),NG,38.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Fourth,,,,,,Percentage (%),NG,45.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Richest,,,,,,Percentage (%),NG,58.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,North  Central,,,,,Percentage (%),NGNCZ06,44.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,North East,,,,,Percentage (%),NGNEZ05,23.5
