Year,Series,Haemoglobin level,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Maternity status,Age group,State,GeoCode,Value
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Yobe,NGYO35,67.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Zamfara,NGZA36,71.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Federal Capital Territory,NGFC37,50.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,,NG,25.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,Urban,,,,,,,NG,27.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,Rural,,,,,,,NG,28.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,Lowest,,,,,,NG,27.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,Second,,,,,,NG,27.9
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,Middle,,,,,,NG,29.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,Fourth,,,,,,NG,26.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,Highest,,,,,,NG,27.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,North  Central,,,,,NGNCZ06,26.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,North East,,,,,NGNEZ05,27.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,North West,,,,,NGNWZ04,27.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,South East,,,,,NGSEZ03,29.9
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,South South,,,,,NGSSZ02,25.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,South West,,,,,NGSWZ01,30.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,None,,,,NG,28.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,Primary,,,,NG,28.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,Secondary,,,,NG,27.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,Post Secondary,,,,NG,26.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,Pregnant,,,NG,25.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,Breastfeeding,,,NG,27.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,Neither,,,NG,28.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,15-19,,NG,30.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,20-29,,NG,26.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,30-39,,NG,27.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,40-49,,NG,28.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Abia,NGAB01,26.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Adamawa,NGAD02,18.6
