Year,Series,Category of disaster effect,State,Unit multiplier,Units,GeoCode,Value
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Sokoto,Units,Number,NGSO33,13138.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Taraba,Units,Number,NGTA34,9461.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Yobe,Units,Number,NGYO35,48655.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Zamfara,Units,Number,NGZA36,22830.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Federal Capital Territory,Units,Number,NGFC37,676.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Abia,Units,Number,NGAB01,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Adamawa,Units,Number,NGAD02,18.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Akwa Ibom,Units,Number,NGAK03,14.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Anambra,Units,Number,NGAN04,77.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Bauchi,Units,Number,NGBA05,20.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Bayelsa,Units,Number,NGBY06,96.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Benue,Units,Number,NGBE07,430.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Borno,Units,Number,NGBO08,79.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Cross River,Units,Number,NGXR09,14.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Delta,Units,Number,NGDE10,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ebonyi,Units,Number,NGEB11,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Edo,Units,Number,NGED12,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ekiti,Units,Number,NGEK13,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Enugu,Units,Number,NGEN14,3.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Gombe,Units,Number,NGGO15,45.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Imo,Units,Number,NGIM16,4.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Jigawa,Units,Number,NGJI17,105.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kaduna,Units,Number,NGKD18,119.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kano,Units,Number,NGKN19,10.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Katsina,Units,Number,NGKT20,4.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kebbi,Units,Number,NGKE21,209.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kogi,Units,Number,NGKO22,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kwara,Units,Number,NGKW23,11.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Lagos,Units,Number,NGLA24,100.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Nasarawa,Units,Number,NGNA25,80.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Niger,Units,Number,NGNI26,23.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ogun,Units,Number,NGOG27,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ondo,Units,Number,NGON28,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Osun,Units,Number,NGOS29,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Oyo,Units,Number,NGOY30,0.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Plateau,Units,Number,NGPL31,179.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Rivers,Units,Number,NGRI32,63.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Sokoto,Units,Number,NGSO33,58.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Taraba,Units,Number,NGTA34,57.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Yobe,Units,Number,NGYO35,106.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Zamfara,Units,Number,NGZA36,9.0
