Year,Series,Sector,State,Units,GeoCode,Value
2017,Proportion of population with access to electricity,,Rivers,Percentage (%),NGRI32,80.9
2017,Proportion of population with access to electricity,,Sokoto,Percentage (%),NGSO33,37.5
2017,Proportion of population with access to electricity,,Taraba,Percentage (%),NGTA34,17.7
2017,Proportion of population with access to electricity,,Yobe,Percentage (%),NGYO35,28.5
2017,Proportion of population with access to electricity,,Zamfara,Percentage (%),NGZA36,27.7
2017,Proportion of population with access to electricity,,Federal Capital Territory,Percentage (%),NGFC37,77.9
2022,Proportion of population with access to electricity,,,Percentage (%),NG,59.5
2022,Proportion of population with access to electricity,Urban,,Percentage (%),NG,89.2
2022,Proportion of population with access to electricity,Rural,,Percentage (%),NG,37.6
2022,Proportion of population with access to electricity,,Abia,Percentage (%),NGAB01,92.3
2022,Proportion of population with access to electricity,,Adamawa,Percentage (%),NGAD02,36.3
2022,Proportion of population with access to electricity,,Akwa Ibom,Percentage (%),NGAK03,59.1
2022,Proportion of population with access to electricity,,Anambra,Percentage (%),NGAN04,93.9
2022,Proportion of population with access to electricity,,Bauchi,Percentage (%),NGBA05,21.3
2022,Proportion of population with access to electricity,,Bayelsa,Percentage (%),NGBY06,72.0
2022,Proportion of population with access to electricity,,Benue,Percentage (%),NGBE07,37.6
2022,Proportion of population with access to electricity,,Borno,Percentage (%),NGBO08,52.0
2022,Proportion of population with access to electricity,,Cross River,Percentage (%),NGXR09,50.6
2022,Proportion of population with access to electricity,,Delta,Percentage (%),NGDE10,82.2
2022,Proportion of population with access to electricity,,Ebonyi,Percentage (%),NGEB11,55.7
2022,Proportion of population with access to electricity,,Edo,Percentage (%),NGED12,93.3
2022,Proportion of population with access to electricity,,Ekiti,Percentage (%),NGEK13,65.6
2022,Proportion of population with access to electricity,,Enugu,Percentage (%),NGEN14,84.7
2022,Proportion of population with access to electricity,,Gombe,Percentage (%),NGGO15,44.4
2022,Proportion of population with access to electricity,,Imo,Percentage (%),NGIM16,84.5
2022,Proportion of population with access to electricity,,Jigawa,Percentage (%),NGJI17,15.1
2022,Proportion of population with access to electricity,,Kaduna,Percentage (%),NGKD18,71.1
2022,Proportion of population with access to electricity,,Kano,Percentage (%),NGKN19,53.5
2022,Proportion of population with access to electricity,,Katsina,Percentage (%),NGKT20,34.9
2022,Proportion of population with access to electricity,,Kebbi,Percentage (%),NGKE21,44.9
2022,Proportion of population with access to electricity,,Kogi,Percentage (%),NGKO22,60.6
2022,Proportion of population with access to electricity,,Kwara,Percentage (%),NGKW23,77.7
2022,Proportion of population with access to electricity,,Lagos,Percentage (%),NGLA24,99.5
2022,Proportion of population with access to electricity,,Nasarawa,Percentage (%),NGNA25,46.9
2022,Proportion of population with access to electricity,,Niger,Percentage (%),NGNI26,60.9
2022,Proportion of population with access to electricity,,Ogun,Percentage (%),NGOG27,65.7
2022,Proportion of population with access to electricity,,Ondo,Percentage (%),NGON28,43.0
2022,Proportion of population with access to electricity,,Osun,Percentage (%),NGOS29,80.9
2022,Proportion of population with access to electricity,,Oyo,Percentage (%),NGOY30,75.2
2022,Proportion of population with access to electricity,,Plateau,Percentage (%),NGPL31,28.9
2022,Proportion of population with access to electricity,,Rivers,Percentage (%),NGRI32,89.1
2022,Proportion of population with access to electricity,,Sokoto,Percentage (%),NGSO33,46.6
2022,Proportion of population with access to electricity,,Taraba,Percentage (%),NGTA34,21.2
2022,Proportion of population with access to electricity,,Yobe,Percentage (%),NGYO35,26.4
2022,Proportion of population with access to electricity,,Zamfara,Percentage (%),NGZA36,43.7
2022,Proportion of population with access to electricity,,Federal Capital Territory,Percentage (%),NGFC37,76.5
2019,Proportion of population with access to electricity,,,Percentage (%),NG,55.4
2019,Proportion of population with access to electricity,Urban,,Percentage (%),NG,83.9
2019,Proportion of population with access to electricity,Rural,,Percentage (%),NG,42.4
2019,Proportion of population with access to electricity,,,Percentage (%),NGNCZ06,53.0
2019,Proportion of population with access to electricity,,,Percentage (%),NGNEZ05,20.9
2019,Proportion of population with access to electricity,,,Percentage (%),NGNWZ04,40.3
2019,Proportion of population with access to electricity,,,Percentage (%),NGSEZ03,71.4
2019,Proportion of population with access to electricity,,,Percentage (%),NGSSZ02,72.8
2019,Proportion of population with access to electricity,,,Percentage (%),NGSWZ01,67.3
2023,Proportion of population with access to electricity,,,Percentage (%),NG,53.6
2023,Proportion of population with access to electricity,Urban,,Percentage (%),NG,82.2
2023,Proportion of population with access to electricity,Rural,,Percentage (%),NG,40.4
2023,Proportion of population with access to electricity,,,Percentage (%),NGNCZ06,46.8
2023,Proportion of population with access to electricity,,,Percentage (%),NGNEZ05,29.5
2023,Proportion of population with access to electricity,,,Percentage (%),NGNWZ04,32.1
2023,Proportion of population with access to electricity,,,Percentage (%),NGSEZ03,74.6
2023,Proportion of population with access to electricity,,,Percentage (%),NGSSZ02,65.7
2023,Proportion of population with access to electricity,,,Percentage (%),NGSWZ01,71.7
