Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,Ethnicity,State,Age group,GeoCode,Value
2021,Proportion of individuals using the Internet,,Female,,,,Ondo,,NGON28,24.0
2021,Proportion of individuals using the Internet,,Female,,,,Osun,,NGOS29,24.6
2021,Proportion of individuals using the Internet,,Female,,,,Oyo,,NGOY30,25.8
2021,Proportion of individuals using the Internet,,Female,,,,Plateau,,NGPL31,19.4
2021,Proportion of individuals using the Internet,,Female,,,,Rivers,,NGRI32,42.9
2021,Proportion of individuals using the Internet,,Female,,,,Sokoto,,NGSO33,5.4
2021,Proportion of individuals using the Internet,,Female,,,,Taraba,,NGTA34,19.7
2021,Proportion of individuals using the Internet,,Female,,,,Yobe,,NGYO35,8.4
2021,Proportion of individuals using the Internet,,Female,,,,Zamfara,,NGZA36,4.6
2021,Proportion of individuals using the Internet,,Female,,,,Federal Capital Territory,,NGFC37,32.3
