Year,Series,Measure,State,GeoCode,Value
2022,Death rate due to road traffic injuries,Number of Crash,Katsina,NGKT20,129
2022,Death rate due to road traffic injuries,Number of Crash,Kebbi,NGKE21,192
2022,Death rate due to road traffic injuries,Number of Crash,Kogi,NGKO22,529
2022,Death rate due to road traffic injuries,Number of Crash,Kwara,NGKW23,358
2022,Death rate due to road traffic injuries,Number of Crash,Lagos,NGLA24,659
2022,Death rate due to road traffic injuries,Number of Crash,Nasarawa,NGNA25,959
2022,Death rate due to road traffic injuries,Number of Crash,Niger,NGNI26,543
2022,Death rate due to road traffic injuries,Number of Crash,Ogun,NGOG27,1114
2022,Death rate due to road traffic injuries,Number of Crash,Ondo,NGON28,489
2022,Death rate due to road traffic injuries,Number of Crash,Osun,NGOS29,376
2022,Death rate due to road traffic injuries,Number of Crash,Oyo,NGOY30,675
2022,Death rate due to road traffic injuries,Number of Crash,Plateau,NGPL31,299
2022,Death rate due to road traffic injuries,Number of Crash,Rivers,NGRI32,98
2022,Death rate due to road traffic injuries,Number of Crash,Sokoto,NGSO33,143
2022,Death rate due to road traffic injuries,Number of Crash,Taraba,NGTA34,286
2022,Death rate due to road traffic injuries,Number of Crash,Yobe,NGYO35,162
2022,Death rate due to road traffic injuries,Number of Crash,Zamfara,NGZA36,114
2022,Death rate due to road traffic injuries,Number of Crash,,NG,13656
2023,Death rate due to road traffic injuries,Number of Crash,Abia,NGAB01,65
2023,Death rate due to road traffic injuries,Number of Crash,Adamawa,NGAD02,184
2023,Death rate due to road traffic injuries,Number of Crash,Akwa Ibom,NGAK03,46
2023,Death rate due to road traffic injuries,Number of Crash,Anambra,NGAN04,115
2023,Death rate due to road traffic injuries,Number of Crash,Bauchi,NGBA05,344
2023,Death rate due to road traffic injuries,Number of Crash,Bayelsa,NGBY06,21
2023,Death rate due to road traffic injuries,Number of Crash,Benue,NGBE07,191
2023,Death rate due to road traffic injuries,Number of Crash,Borno,NGBO08,127
2023,Death rate due to road traffic injuries,Number of Crash,Cross River,NGXR09,83
2023,Death rate due to road traffic injuries,Number of Crash,Delta,NGDE10,118
2023,Death rate due to road traffic injuries,Number of Crash,Ebonyi,NGEB11,141
2023,Death rate due to road traffic injuries,Number of Crash,Edo,NGED12,205
2023,Death rate due to road traffic injuries,Number of Crash,Ekiti,NGEK13,103
2023,Death rate due to road traffic injuries,Number of Crash,Enugu,NGEN14,155
2023,Death rate due to road traffic injuries,Number of Crash,Federal Capital Territory,NGFC37,1347
2023,Death rate due to road traffic injuries,Number of Crash,Gombe,NGGO15,279
2023,Death rate due to road traffic injuries,Number of Crash,Imo,NGIM16,87
2023,Death rate due to road traffic injuries,Number of Crash,Jigawa,NGJI17,414
2023,Death rate due to road traffic injuries,Number of Crash,Kaduna,NGKD18,719
2023,Death rate due to road traffic injuries,Number of Crash,Kano,NGKN19,255
2023,Death rate due to road traffic injuries,Number of Crash,Katsina,NGKT20,118
2023,Death rate due to road traffic injuries,Number of Crash,Kebbi,NGKE21,124
2023,Death rate due to road traffic injuries,Number of Crash,Kogi,NGKO22,407
2023,Death rate due to road traffic injuries,Number of Crash,Kwara,NGKW23,316
2023,Death rate due to road traffic injuries,Number of Crash,Lagos,NGLA24,458
2023,Death rate due to road traffic injuries,Number of Crash,Nasarawa,NGNA25,725
2023,Death rate due to road traffic injuries,Number of Crash,Niger,NGNI26,473
2023,Death rate due to road traffic injuries,Number of Crash,Ogun,NGOG27,966
2023,Death rate due to road traffic injuries,Number of Crash,Ondo,NGON28,380
2023,Death rate due to road traffic injuries,Number of Crash,Osun,NGOS29,321
2023,Death rate due to road traffic injuries,Number of Crash,Oyo,NGOY30,495
2023,Death rate due to road traffic injuries,Number of Crash,Plateau,NGPL31,279
2023,Death rate due to road traffic injuries,Number of Crash,Rivers,NGRI32,69
2023,Death rate due to road traffic injuries,Number of Crash,Sokoto,NGSO33,75
2023,Death rate due to road traffic injuries,Number of Crash,Taraba,NGTA34,169
2023,Death rate due to road traffic injuries,Number of Crash,Yobe,NGYO35,166
2023,Death rate due to road traffic injuries,Number of Crash,Zamfara,NGZA36,64
2023,Death rate due to road traffic injuries,Number of Crash,,NG,10604
2021,Death rate due to road traffic injuries,Number of Fatality,Abia,NGAB01,68
2021,Death rate due to road traffic injuries,Number of Fatality,Adamawa,NGAD02,93
2021,Death rate due to road traffic injuries,Number of Fatality,Akwa Ibom,NGAK03,33
2021,Death rate due to road traffic injuries,Number of Fatality,Anambra,NGAN04,89
2021,Death rate due to road traffic injuries,Number of Fatality,Bauchi,NGBA05,396
2021,Death rate due to road traffic injuries,Number of Fatality,Bayelsa,NGBY06,35
2021,Death rate due to road traffic injuries,Number of Fatality,Benue,NGBE07,61
2021,Death rate due to road traffic injuries,Number of Fatality,Borno,NGBO08,36
2021,Death rate due to road traffic injuries,Number of Fatality,Cross River,NGXR09,70
2021,Death rate due to road traffic injuries,Number of Fatality,Delta,NGDE10,120
2021,Death rate due to road traffic injuries,Number of Fatality,Ebonyi,NGEB11,89
2021,Death rate due to road traffic injuries,Number of Fatality,Edo,NGED12,158
2021,Death rate due to road traffic injuries,Number of Fatality,Ekiti,NGEK13,48
2021,Death rate due to road traffic injuries,Number of Fatality,Enugu,NGEN14,108
2021,Death rate due to road traffic injuries,Number of Fatality,Federal Capital Territory,NGFC37,216
2021,Death rate due to road traffic injuries,Number of Fatality,Gombe,NGGO15,102
2021,Death rate due to road traffic injuries,Number of Fatality,Imo,NGIM16,69
2021,Death rate due to road traffic injuries,Number of Fatality,Jigawa,NGJI17,208
2021,Death rate due to road traffic injuries,Number of Fatality,Kaduna,NGKD18,677
2021,Death rate due to road traffic injuries,Number of Fatality,Kano,NGKN19,250
2021,Death rate due to road traffic injuries,Number of Fatality,Katsina,NGKT20,115
2021,Death rate due to road traffic injuries,Number of Fatality,Kebbi,NGKE21,112
2021,Death rate due to road traffic injuries,Number of Fatality,Kogi,NGKO22,229
2021,Death rate due to road traffic injuries,Number of Fatality,Kwara,NGKW23,246
2021,Death rate due to road traffic injuries,Number of Fatality,Lagos,NGLA24,157
2021,Death rate due to road traffic injuries,Number of Fatality,Nasarawa,NGNA25,222
2021,Death rate due to road traffic injuries,Number of Fatality,Niger,NGNI26,454
2021,Death rate due to road traffic injuries,Number of Fatality,Ogun,NGOG27,430
2021,Death rate due to road traffic injuries,Number of Fatality,Ondo,NGON28,203
2021,Death rate due to road traffic injuries,Number of Fatality,Osun,NGOS29,240
2021,Death rate due to road traffic injuries,Number of Fatality,Oyo,NGOY30,339
2021,Death rate due to road traffic injuries,Number of Fatality,Plateau,NGPL31,97
2021,Death rate due to road traffic injuries,Number of Fatality,Rivers,NGRI32,56
2021,Death rate due to road traffic injuries,Number of Fatality,Sokoto,NGSO33,110
2021,Death rate due to road traffic injuries,Number of Fatality,Taraba,NGTA34,36
2021,Death rate due to road traffic injuries,Number of Fatality,Yobe,NGYO35,118
2021,Death rate due to road traffic injuries,Number of Fatality,Zamfara,NGZA36,115
2021,Death rate due to road traffic injuries,Number of Fatality,,NG,6205
2022,Death rate due to road traffic injuries,Number of Fatality,Abia,NGAB01,52
2022,Death rate due to road traffic injuries,Number of Fatality,Adamawa,NGAD02,106
2022,Death rate due to road traffic injuries,Number of Fatality,Akwa Ibom,NGAK03,43
2022,Death rate due to road traffic injuries,Number of Fatality,Anambra,NGAN04,74
2022,Death rate due to road traffic injuries,Number of Fatality,Bauchi,NGBA05,339
2022,Death rate due to road traffic injuries,Number of Fatality,Bayelsa,NGBY06,8
