Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,Mother's education level,School type,GeoCode,Value
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kwara,,,Secondary,NGKW23,1.08
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Lagos,,,Secondary,NGLA24,1.04
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Nasarawa,,,Secondary,NGNA25,0.79
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Niger,,,Secondary,NGNI26,1.03
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Ogun,,,Secondary,NGOG27,1.03
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Ondo,,,Secondary,NGON28,1.05
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Osun,,,Secondary,NGOS29,1.02
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Oyo,,,Secondary,NGOY30,1.16
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Plateau,,,Secondary,NGPL31,0.83
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Rivers,,,Secondary,NGRI32,1.11
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Sokoto,,,Secondary,NGSO33,0.96
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Taraba,,,Secondary,NGTA34,0.95
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Yobe,,,Secondary,NGYO35,0.79
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Zamfara,,,Secondary,NGZA36,0.7
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Federal Capital Territory,,,Secondary,NGFC37,1.04
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,,Primary,NG,0.99
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,,Junior Secondary,NG,1.05
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,,Secondary,NG,1.11
2021,Percentage of population age 3 and above who never attended formal education,,,,,North  Central,,,,Primary,NGNCZ06,1.01
2021,Percentage of population age 3 and above who never attended formal education,,,,,North East,,,,Primary,NGNEZ05,1.0
2021,Percentage of population age 3 and above who never attended formal education,,,,,North West,,,,Primary,NGNWZ04,0.97
2021,Percentage of population age 3 and above who never attended formal education,,,,,South East,,,,Primary,NGSEZ03,0.96
2021,Percentage of population age 3 and above who never attended formal education,,,,,South South,,,,Primary,NGSSZ02,1.02
2021,Percentage of population age 3 and above who never attended formal education,,,,,South West,,,,Primary,NGSWZ01,1.0
2021,Percentage of population age 3 and above who never attended formal education,,,,,North  Central,,,,Junior Secondary,NGNCZ06,1.09
2021,Percentage of population age 3 and above who never attended formal education,,,,,North East,,,,Junior Secondary,NGNEZ05,1.05
2021,Percentage of population age 3 and above who never attended formal education,,,,,North West,,,,Junior Secondary,NGNWZ04,1.1
2021,Percentage of population age 3 and above who never attended formal education,,,,,South East,,,,Junior Secondary,NGSEZ03,0.93
2021,Percentage of population age 3 and above who never attended formal education,,,,,South South,,,,Junior Secondary,NGSSZ02,1.05
2021,Percentage of population age 3 and above who never attended formal education,,,,,South West,,,,Junior Secondary,NGSWZ01,1.08
2021,Percentage of population age 3 and above who never attended formal education,,,,,North  Central,,,,Secondary,NGNCZ06,1.04
2021,Percentage of population age 3 and above who never attended formal education,,,,,North East,,,,Secondary,NGNEZ05,1.04
2021,Percentage of population age 3 and above who never attended formal education,,,,,North West,,,,Secondary,NGNWZ04,1.09
2021,Percentage of population age 3 and above who never attended formal education,,,,,South East,,,,Secondary,NGSEZ03,1.09
2021,Percentage of population age 3 and above who never attended formal education,,,,,South South,,,,Secondary,NGSSZ02,1.25
2021,Percentage of population age 3 and above who never attended formal education,,,,,South West,,,,Secondary,NGSWZ01,1.02
2021,Percentage of population age 3 and above who never attended formal education,,Urban,,,,,,,Primary,NG,1.0
2021,Percentage of population age 3 and above who never attended formal education,,Rural,,,,,,,Primary,NG,0.97
2021,Percentage of population age 3 and above who never attended formal education,,Urban,,,,,,,Junior Secondary,NG,1.04
2021,Percentage of population age 3 and above who never attended formal education,,Rural,,,,,,,Junior Secondary,NG,1.02
2021,Percentage of population age 3 and above who never attended formal education,,Urban,,,,,,,Secondary,NG,1.12
2021,Percentage of population age 3 and above who never attended formal education,,Rural,,,,,,,Secondary,NG,1.05
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,None,Primary,NG,0.96
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,Primary,Primary,NG,1.01
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,Junior secondary [B],Primary,NG,1.01
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,Senior secondary [C],Primary,NG,1.0
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,Higher/tertiary,Primary,NG,1.0
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,None,Junior Secondary,NG,1.04
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,Primary,Junior Secondary,NG,1.1
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,Junior secondary [B],Junior Secondary,NG,1.08
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,Senior secondary [C],Junior Secondary,NG,1.04
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,Higher/tertiary,Junior Secondary,NG,0.99
