Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Units,GeoCode,Value
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North Central,,,Percentage (%),NGNCZ06,11.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North East,,,Percentage (%),NGNEZ05,57.0
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North West,,,Percentage (%),NGNWZ04,43.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South East,,,Percentage (%),NGSEZ03,2.0
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South South,,,Percentage (%),NGSSZ02,10.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South West,,,Percentage (%),NGSWZ01,31.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,None,,,,Percentage (%),NG,24.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Primary,,,,Percentage (%),NG,14.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Secondary,,,,Percentage (%),NG,14.0
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Higher,,,,Percentage (%),NG,31.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Lowest,,Percentage (%),NG,22.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Second,,Percentage (%),NG,15.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Middle,,Percentage (%),NG,14.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Fourth,,Percentage (%),NG,17.1
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Highest,,Percentage (%),NG,26.1
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Abia,Percentage (%),NGAB01,4.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Adamawa,Percentage (%),NGAD02,96.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Akwa Ibom,Percentage (%),NGAK03,10.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Anambra,Percentage (%),NGAN04,0.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Bauchi,Percentage (%),NGBA05,24.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Bayelsa,Percentage (%),NGBY06,16.7
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Benue,Percentage (%),NGBE07,5.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Borno,Percentage (%),NGBO08,31.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Cross River,Percentage (%),NGXR09,1.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Delta,Percentage (%),NGDE10,3.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Ebonyi,Percentage (%),NGEB11,1.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Edo,Percentage (%),NGED12,35.1
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Ekiti,Percentage (%),NGEK13,14.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Enugu,Percentage (%),NGEN14,2.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Gombe,Percentage (%),NGGO15,52.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Imo,Percentage (%),NGIM16,10.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kaduna,Percentage (%),NGKD18,18.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kano,Percentage (%),NGKN19,58.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Katsina,Percentage (%),NGKT20,72.0
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kebbi,Percentage (%),NGKE21,27.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kogi,Percentage (%),NGKO22,14.0
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kwara,Percentage (%),NGKW23,13.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Lagos,Percentage (%),NGLA24,34.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Nasarawa,Percentage (%),NGNA25,32.1
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Ogun,Percentage (%),NGOG27,32.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Ondo,Percentage (%),NGON28,23.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Osun,Percentage (%),NGOS29,32.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Oyo,Percentage (%),NGOY30,40.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Plateau,Percentage (%),NGPL31,5.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Rivers,Percentage (%),NGRI32,8.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Sokoto,Percentage (%),NGSO33,45.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Taraba,Percentage (%),NGTA34,25.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Yobe,Percentage (%),NGYO35,35.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Zamfara,Percentage (%),NGZA36,66.0
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Federal Capital Territory,Percentage (%),NGFC37,29.5
