Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Age group,Tobacco type,Units,GeoCode,Value
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North  Central,,,Cigarettes,Percentage (%),NGNCZ06,5.8
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North East,,,Cigarettes,Percentage (%),NGNEZ05,3.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North West,,,Cigarettes,Percentage (%),NGNWZ04,4.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South East,,,Cigarettes,Percentage (%),NGSEZ03,9.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South South,,,Cigarettes,Percentage (%),NGSSZ02,10.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South West,,,Cigarettes,Percentage (%),NGSWZ01,4.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,None,,Cigarettes,Percentage (%),NG,4.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,Primary,,Cigarettes,Percentage (%),NG,9.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,Secondary,,Cigarettes,Percentage (%),NG,5.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,More than Secondary,,Cigarettes,Percentage (%),NG,3.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,15-19,Cigarettes,Percentage (%),NG,0.8
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,20-24,Cigarettes,Percentage (%),NG,3.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,25-29,Cigarettes,Percentage (%),NG,6.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,30-34,Cigarettes,Percentage (%),NG,7.8
